camera	frame	cX	cY
right	1	629	358
right	2	629	358
right	18	629	357
right	19	629	357
right	20	629	358
right	21	629	358
right	22	163	382
right	22	129	394
right	23	163	382
right	23	129	394
right	24	164	383
right	24	128	394
right	25	164	383
right	25	128	394
right	26	214	365
right	27	214	365
right	28	214	365
left	29	258	23
right	29	127	36
right	29	203	363
left	30	258	23
right	30	127	36
right	30	203	363
left	31	258	23
right	31	127	36
right	31	203	363
left	32	258	23
right	32	127	36
right	32	203	363
left	33	256	23
right	33	126	34
left	34	256	23
right	34	126	34
left	35	256	23
right	35	126	34
left	36	256	23
right	36	126	34
right	37	124	33
right	38	124	33
right	39	124	33
right	40	124	33
