date,country,location,VL,linkL,VR,linkR,start,end,offset,name,stereomap,baseline,redownload,recfr,reclip,contourBlack,contourMinpulse,segXMAX,segYMAX,segHPD,segPDMIN,segHPP,pairPSD,pairPFD,pairSRMAX,pairXD,vizMindis
2017,Belize,Hangman,181200-2,1qOBnKkOO9oR7o8UEPS3NKG30jGuZowGx,181200-1,1k16qfBuVGEYqDt1PDoaqSIyIx5OORjf3,31250,31500,11,hanpan1,2017hangman,125,TRUE,TRUE,TRUE,130,0.1,10,10,2,3,5,5,5,10,300,20
2017,Belize,Hangman,181200-2,1qOBnKkOO9oR7o8UEPS3NKG30jGuZowGx,181200-1,1k16qfBuVGEYqDt1PDoaqSIyIx5OORjf3,23890,24100,11,hanpan2,2017hangman,125,FALSE,FALSE,TRUE,130,0.1,10,10,2,3,5,5,5,10,300,20
2017,Belize,Hangman,181200-2,1qOBnKkOO9oR7o8UEPS3NKG30jGuZowGx,181200-1,1k16qfBuVGEYqDt1PDoaqSIyIx5OORjf3,24680,24970,11,hanpan3,2017hangman,125,FALSE,FALSE,TRUE,130,0.1,10,10,2,3,5,5,5,10,300,20
2017,Belize,Hangman,181200-2,1qOBnKkOO9oR7o8UEPS3NKG30jGuZowGx,181200-1,1k16qfBuVGEYqDt1PDoaqSIyIx5OORjf3,25320,25470,11,hanpan4,2017hangman,125,FALSE,FALSE,TRUE,130,0.1,10,10,2,3,5,5,5,10,300,20
2017,Belize,Hangman,181200-2,1qOBnKkOO9oR7o8UEPS3NKG30jGuZowGx,181200-1,1k16qfBuVGEYqDt1PDoaqSIyIx5OORjf3,25700,25850,11,hanpan5,2017hangman,125,FALSE,FALSE,TRUE,130,0.1,10,10,2,3,5,5,5,10,300,20
2017,Belize,Hangman,181200-2,1qOBnKkOO9oR7o8UEPS3NKG30jGuZowGx,181200-1,1k16qfBuVGEYqDt1PDoaqSIyIx5OORjf3,29180,29360,11,hanpan6,2017hangman,125,FALSE,FALSE,TRUE,125,0.1,3,3,2,3,5,3,4,6,50,20
2017,Belize,Hangman,181200-2,1qOBnKkOO9oR7o8UEPS3NKG30jGuZowGx,181200-1,1k16qfBuVGEYqDt1PDoaqSIyIx5OORjf3,29780,29930,11,hanpan7,2017hangman,125,FALSE,FALSE,TRUE,120,0.1,5,5,2,3,5,5,5,10,300,20
2017,Belize,Hangman,181200-2,1qOBnKkOO9oR7o8UEPS3NKG30jGuZowGx,181200-1,1k16qfBuVGEYqDt1PDoaqSIyIx5OORjf3,35800,35970,11,hanpan8,2017hangman,125,FALSE,FALSE,TRUE,130,0.1,10,10,2,3,5,5,5,10,300,20
2017,Belize,Hangman,181200-2,1qOBnKkOO9oR7o8UEPS3NKG30jGuZowGx,181200-1,1k16qfBuVGEYqDt1PDoaqSIyIx5OORjf3,39970,40150,11,hanpan9,2017hangman,125,FALSE,FALSE,TRUE,120,0.1,10,10,2,3,5,5,5,10,300,20
2017,Belize,Hangman,181200-2,1qOBnKkOO9oR7o8UEPS3NKG30jGuZowGx,181200-1,1k16qfBuVGEYqDt1PDoaqSIyIx5OORjf3,52679,52930,11,hanpan10,2017hangman,125,FALSE,FALSE,TRUE,130,0.1,10,10,2,3,5,5,5,10,300,20
