	camera	frame	cX	cY	area	minI	maxI	meanI	pulse
8	left	32	296	35	128.5	131.0	190.0	162.0909090909091	p1
9	left	33	296	35	128.5	131.0	190.0	162.0909090909091	p1
10	left	34	296	35	128.5	131.0	190.0	162.0909090909091	p1
11	left	35	311	35	205.5	133.0	182.0	164.10775862068965	p1
12	left	36	311	35	205.5	133.0	182.0	164.10775862068965	p1
13	left	37	311	35	205.5	133.0	182.0	164.10775862068965	p1
14	left	38	311	35	205.5	133.0	182.0	164.10775862068965	p1
0	left	39	320	34	127.5	131.0	189.0	160.5374149659864	p1
1	left	40	320	34	127.5	131.0	189.0	160.5374149659864	p1
2	left	41	320	34	127.5	131.0	189.0	160.5374149659864	p1
3	left	42	320	34	127.5	131.0	189.0	160.5374149659864	p1
4	left	43	328	34	35.0	131.0	178.0	147.6304347826087	p1
5	left	44	328	34	35.0	131.0	178.0	147.6304347826087	p1
6	left	45	328	34	35.0	131.0	178.0	147.6304347826087	p1
7	left	46	328	34	35.0	131.0	178.0	147.6304347826087	p1
15	left	51	306	163	85.0	131.0	182.0	159.2621359223301	p2
16	left	52	306	163	85.0	131.0	182.0	159.2621359223301	p2
17	left	53	306	163	85.0	131.0	182.0	159.2621359223301	p2
18	left	54	294	166	224.0	131.0	183.0	162.5776892430279	p2
19	left	55	294	166	224.0	131.0	183.0	162.5776892430279	p2
20	left	56	294	166	224.0	131.0	183.0	162.5776892430279	p2
21	left	57	294	166	224.0	131.0	183.0	162.5776892430279	p2
23	left	58	286	168	84.0	131.0	184.0	155.71	p2
22	left	59	285	168	86.5	131.0	184.0	155.43689320388347	p2
24	left	60	286	168	84.0	131.0	184.0	155.71	p2
25	left	61	286	168	84.0	131.0	184.0	155.64	p2
30	left	69	226	250	56.5	133.0	182.0	157.61111111111111	p3
31	left	70	226	250	56.5	133.0	182.0	157.61111111111111	p3
32	left	71	226	250	56.5	133.0	182.0	157.61111111111111	p3
33	left	72	226	250	56.5	133.0	182.0	157.61111111111111	p3
34	left	73	213	252	185.0	131.0	182.0	162.81990521327015	p3
35	left	74	213	252	185.0	131.0	182.0	162.81990521327015	p3
36	left	75	213	252	185.0	131.0	182.0	162.81990521327015	p3
37	left	76	213	252	185.0	131.0	182.0	162.81990521327015	p3
26	left	77	201	248	15.0	131.0	155.0	138.95652173913044	p3
27	left	78	201	248	15.0	131.0	155.0	138.95652173913044	p3
28	left	79	201	248	15.0	131.0	155.0	138.95652173913044	p3
29	left	80	201	248	15.0	131.0	155.0	138.95652173913044	p3
38	left	88	139	310	59.5	131.0	183.0	160.71621621621622	p4
39	left	89	139	310	59.5	131.0	183.0	160.71621621621622	p4
40	left	90	139	310	59.5	131.0	183.0	160.71621621621622	p4
41	left	91	139	310	59.5	131.0	183.0	160.71621621621622	p4
42	left	92	133	312	56.0	131.0	180.0	157.2112676056338	p4
43	left	93	133	312	56.0	131.0	180.0	157.2112676056338	p4
44	left	94	133	312	56.0	131.0	180.0	157.2112676056338	p4
45	left	95	133	312	56.0	131.0	180.0	157.2112676056338	p4
48	left	96	400	66	3.0	133.0	151.0	136.85714285714286	p5
49	left	97	400	66	3.0	133.0	151.0	136.85714285714286	p5
50	left	98	400	66	3.0	133.0	151.0	136.85714285714286	p5
46	left	99	400	65	41.0	131.0	193.0	156.16981132075472	p5
47	left	100	400	65	41.0	131.0	193.0	156.16981132075472	p5
54	right	32	41	45	90.0	131.0	179.0	157.60550458715596	p6
55	right	33	41	45	90.0	131.0	179.0	157.60550458715596	p6
56	right	34	41	45	90.0	131.0	179.0	157.60550458715596	p6
57	right	35	41	45	90.0	131.0	179.0	157.60550458715596	p6
51	right	36	51	44	137.0	131.0	186.0	158.80503144654088	p6
52	right	37	51	44	137.0	131.0	186.0	158.80503144654088	p6
53	right	38	51	44	137.0	131.0	186.0	158.80503144654088	p6
58	right	39	53	45	68.0	133.0	186.0	159.3012048192771	p6
59	right	40	53	45	68.0	133.0	186.0	159.3012048192771	p6
60	right	41	53	45	68.0	133.0	186.0	159.3012048192771	p6
61	right	42	53	45	68.0	133.0	186.0	159.3012048192771	p6
62	right	43	55	45	26.5	131.0	183.0	154.75675675675677	p6
63	right	44	55	45	26.5	131.0	183.0	154.75675675675677	p6
64	right	45	55	45	26.5	131.0	183.0	154.75675675675677	p6
65	right	46	55	45	26.5	131.0	183.0	154.75675675675677	p6
66	right	51	26	158	26.5	133.0	182.0	151.4722222222222	p7
67	right	52	26	158	26.5	133.0	182.0	151.4722222222222	p7
68	right	53	26	158	26.5	133.0	182.0	151.4722222222222	p7
69	right	54	26	158	26.5	133.0	182.0	151.4722222222222	p7
70	right	55	24	160	88.5	133.0	179.0	155.36792452830187	p7
71	right	56	24	160	88.5	133.0	179.0	155.36792452830187	p7
72	right	57	24	160	88.5	133.0	179.0	155.36792452830187	p7
73	right	58	22	163	22.0	131.0	185.0	152.21875	p7
74	right	59	22	163	22.0	131.0	185.0	152.21875	p7
75	right	60	22	163	22.0	131.0	185.0	152.21875	p7
76	right	61	22	163	22.0	131.0	185.0	152.21875	p7
81	right	70	20	238	29.5	133.0	180.0	153.3658536585366	p8
82	right	71	20	238	29.5	133.0	180.0	153.3658536585366	p8
83	right	72	20	238	29.5	133.0	180.0	153.3658536585366	p8
84	right	73	9	239	127.5	131.0	190.0	161.51006711409394	p8
85	right	74	9	239	127.5	131.0	190.0	161.51006711409394	p8
86	right	75	9	239	127.5	131.0	190.0	161.51006711409394	p8
87	right	76	9	239	127.5	131.0	190.0	161.51006711409394	p8
77	right	77	1	237	10.0	131.0	172.0	150.88235294117646	p8
78	right	78	1	237	10.0	131.0	172.0	150.88235294117646	p8
79	right	79	1	237	10.0	131.0	172.0	150.88235294117646	p8
80	right	80	1	237	10.0	131.0	172.0	150.88235294117646	p8
