camera	frame	cX	cY	area	minI	maxI	meanI
right	56	120	65	2.0	113.0	144.0	122.33333333333333
right	57	120	65	2.0	113.0	144.0	122.33333333333333
right	58	120	65	2.0	113.0	144.0	122.33333333333333
right	59	120	65	2.0	112.0	150.0	122.16666666666666
right	60	120	65	2.0	112.0	150.0	122.16666666666666
right	61	120	65	2.0	112.0	150.0	122.16666666666666
right	62	120	65	2.0	112.0	150.0	122.16666666666666
right	63	121	65	1.5	120.0	148.0	128.83333333333331
right	64	121	65	1.5	120.0	148.0	128.83333333333331
right	65	121	65	1.5	120.0	148.0	128.83333333333331
right	66	121	65	1.5	120.0	148.0	128.83333333333331
right	67	121	65	1.0	122.0	149.0	126.0
right	68	121	65	1.0	122.0	149.0	126.0
right	69	121	65	1.0	122.0	149.0	126.0
right	70	121	65	1.0	122.0	149.0	126.0
right	71	121	65	2.0	114.0	137.0	119.83333333333333
right	72	121	65	2.0	114.0	137.0	119.83333333333333
right	73	121	65	2.0	114.0	137.0	119.83333333333333
right	78	120	65	1.5	115.0	149.0	125.33333333333333
right	79	120	65	1.5	115.0	149.0	125.33333333333333
right	80	120	65	1.5	115.0	149.0	125.33333333333333
left	81	360	153	2.0	112.0	135.0	123.16666666666666
right	81	120	65	1.5	115.0	149.0	125.33333333333333
left	82	360	153	2.0	112.0	135.0	123.16666666666666
right	82	120	65	0.5	114.0	127.0	118.33333333333333
right	82	295	155	0.5	112.0	124.0	115.0
left	83	360	153	2.0	112.0	135.0	123.16666666666666
right	83	120	65	0.5	114.0	127.0	118.33333333333333
right	83	295	155	0.5	112.0	124.0	115.0
left	84	360	153	2.0	112.0	135.0	123.16666666666666
right	84	120	65	0.5	114.0	127.0	118.33333333333333
right	84	295	155	0.5	112.0	124.0	115.0
left	85	360	153	5.5	114.0	255.0	247.12172573189522
right	85	120	65	0.5	114.0	127.0	118.33333333333333
right	85	295	155	0.5	112.0	124.0	115.0
left	86	360	153	5.5	114.0	255.0	247.68875192604008
right	86	121	65	1.0	114.0	129.0	115.4
right	86	295	155	0.5	124.0	147.0	133.66666666666666
left	87	360	153	5.5	114.0	255.0	247.6671802773498
right	87	121	65	1.0	114.0	129.0	115.4
right	87	295	155	0.5	124.0	147.0	133.66666666666666
left	88	360	153	5.5	114.0	255.0	247.12172573189522
right	88	121	65	1.0	114.0	129.0	115.4
right	88	295	155	0.5	124.0	147.0	133.66666666666666
left	89	361	153	3.0	127.0	166.0	144.14285714285714
right	89	121	65	1.0	113.0	120.0	112.25
right	89	295	155	1.0	121.0	136.0	127.25
left	90	361	153	3.0	127.0	166.0	144.14285714285714
right	90	121	65	1.0	113.0	120.0	112.25
right	90	295	155	1.0	121.0	136.0	127.25
left	91	361	153	3.0	127.0	166.0	144.14285714285714
right	91	121	65	1.0	113.0	120.0	112.25
right	91	295	155	1.0	121.0	136.0	127.25
left	92	360	153	3.5	115.0	158.0	136.0
right	92	121	65	1.0	113.0	120.0	112.25
right	92	295	155	1.0	121.0	136.0	127.25
left	93	360	153	3.5	115.0	158.0	136.0
right	93	120	65	1.5	117.0	138.0	122.0
right	93	295	155	2.0	112.0	147.0	130.0
left	94	360	153	3.5	115.0	158.0	136.0
right	94	120	65	1.5	117.0	138.0	122.0
right	94	295	155	2.0	112.0	147.0	130.0
left	95	360	153	3.5	115.0	158.0	136.0
right	95	120	65	1.5	117.0	138.0	122.0
right	95	295	155	2.0	112.0	147.0	130.0
left	96	360	153	2.5	112.0	172.0	136.7142857142857
right	96	120	65	1.5	117.0	138.0	122.0
right	96	295	155	2.0	112.0	147.0	130.0
left	97	360	153	2.5	112.0	172.0	136.7142857142857
right	97	121	65	1.0	115.0	147.0	125.4
right	97	295	154	1.0	111.0	131.0	117.0
left	98	360	153	2.5	112.0	172.0	136.7142857142857
right	98	121	65	1.0	115.0	147.0	125.4
right	98	295	154	1.0	111.0	131.0	117.0
left	99	360	153	2.5	112.0	172.0	136.7142857142857
right	99	121	65	1.0	115.0	147.0	125.4
right	99	295	154	1.0	111.0	131.0	117.0
left	100	360	153	5.5	112.0	255.0	248.346687211094
right	100	121	65	1.0	115.0	147.0	125.4
right	100	295	154	1.0	111.0	131.0	117.0
left	101	360	153	5.5	112.0	255.0	248.346687211094
right	101	120	65	0.5	112.0	129.0	116.75
right	101	295	154	1.5	116.0	148.0	122.2
right	101	301	329	0.5	112.0	117.0	113.66666666666666
left	102	360	153	5.5	112.0	255.0	248.346687211094
right	102	120	65	0.5	112.0	129.0	116.75
right	102	295	154	1.5	116.0	148.0	122.2
right	102	301	329	0.5	112.0	117.0	113.66666666666666
left	103	360	153	5.5	112.0	255.0	248.346687211094
right	103	120	65	0.5	112.0	129.0	116.75
right	103	295	154	3.0	111.0	149.0	121.14285714285714
right	103	301	329	0.5	112.0	117.0	113.66666666666666
left	104	360	153	5.0	111.0	255.0	249.040061633282
right	104	121	65	1.0	114.0	136.0	121.80000000000001
right	104	294	155	2.5	113.0	147.0	127.14285714285714
left	105	360	153	5.0	111.0	255.0	249.040061633282
right	105	121	65	1.0	114.0	136.0	121.80000000000001
right	105	294	155	2.5	113.0	147.0	127.14285714285714
left	106	360	153	5.0	111.0	255.0	249.040061633282
right	106	121	65	1.0	114.0	136.0	121.80000000000001
right	106	294	155	2.5	113.0	147.0	127.14285714285714
left	107	360	153	5.0	111.0	255.0	249.040061633282
right	107	121	65	1.0	114.0	136.0	121.80000000000001
right	107	294	155	2.5	113.0	147.0	127.14285714285714
left	108	360	153	2.0	124.0	164.0	138.5
right	108	121	65	1.0	115.0	148.0	130.0
right	108	294	155	2.0	112.0	133.0	118.5
left	109	360	153	2.0	124.0	164.0	138.5
right	109	121	65	1.0	115.0	148.0	130.0
