	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
0	left	p11	1	85	457	459	458	185	186	185	sp0
0	right	p21	3	90	377	378	378	180	180	180	sp0
1	left	p12	5	90	472	474	473	174	174	174	sp1
1	right	p22	1	88	385	386	385	168	170	169	sp1
2	left	p13	5	90	491	493	492	159	160	160	sp2
2	right	p23	1	90	394	395	395	156	156	156	sp2
3	left	p14	1	90	517	519	518	139	139	139	sp3
3	right	p24	1	90	407	408	407	138	138	138	sp3
4	left	p15	1	90	554	555	554	111	112	111	sp4
4	right	p25	1	90	425	426	425	112	113	112	sp4
