camera	frame	cX	cY
left	1	216	183
left	1	155	187
left	1	217	215
left	1	155	219
left	1	218	247
left	1	157	251
left	1	220	280
left	1	157	282
right	1	69	180
right	1	1	184
right	1	71	215
right	1	3	218
right	1	73	248
right	1	4	252
right	1	75	282
right	1	5	286
right	1	534	447
left	2	216	183
left	2	155	187
left	2	217	215
left	2	155	219
left	2	218	247
left	2	157	251
left	2	220	280
left	2	157	282
right	2	69	180
right	2	1	184
right	2	71	215
right	2	3	218
right	2	73	248
right	2	4	252
right	2	75	282
right	2	5	286
right	2	534	447
left	3	216	183
left	3	155	187
left	3	217	215
left	3	155	219
left	3	218	247
left	3	157	251
left	3	220	280
left	3	157	282
right	3	69	180
right	3	1	184
right	3	71	215
right	3	3	218
right	3	73	248
right	3	4	252
right	3	75	282
right	3	5	286
right	3	534	447
left	4	216	183
left	4	155	187
left	4	217	215
left	4	155	219
left	4	218	247
left	4	157	251
left	4	220	280
left	4	157	282
right	4	69	180
right	4	1	184
right	4	71	215
right	4	3	218
right	4	73	248
right	4	4	252
right	4	75	282
right	4	5	286
right	4	534	447
left	5	216	183
left	5	154	187
left	5	217	215
left	5	155	219
left	5	219	247
left	5	156	251
left	5	220	280
left	5	157	283
right	5	69	181
right	5	1	184
right	5	71	215
right	5	3	218
right	5	73	248
right	5	5	252
right	5	75	283
right	5	5	286
right	5	534	447
left	6	216	183
left	6	154	187
left	6	217	215
left	6	155	219
left	6	219	247
left	6	156	251
left	6	220	280
left	6	157	283
right	6	69	181
right	6	1	184
right	6	71	215
right	6	3	218
right	6	73	248
right	6	5	252
right	6	75	283
right	6	5	286
right	6	534	447
left	7	216	183
left	7	154	187
left	7	217	215
left	7	155	219
left	7	219	247
left	7	156	251
left	7	220	280
left	7	157	283
right	7	69	181
right	7	1	184
right	7	71	215
right	7	3	218
right	7	73	248
right	7	5	252
right	7	75	283
right	7	5	286
right	7	534	447
left	8	216	183
left	8	154	187
left	8	217	215
left	8	155	219
left	8	219	247
left	8	156	251
left	8	220	280
left	8	157	283
right	8	69	181
right	8	1	184
right	8	71	215
right	8	3	218
right	8	73	248
right	8	5	252
