	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	maxI	meanI	meanArea	spulse
0	left	p1	32	46	296	328	311	34	35	34	190.0	158.35834404999108	123.83333333333333	sp0
0	right	p6	32	46	41	55	41	44	45	45	186.0	157.53793059949209	76.6	sp0
1	left	p2	51	61	285	306	294	163	168	166	184.0	159.1449143584532	135.4090909090909	sp1
1	right	p7	51	61	22	26	22	158	163	158	185.0	152.8061511339813	41.77272727272727	sp1
2	left	p3	69	80	201	226	201	248	252	248	182.0	153.12917935450392	85.5	sp2
2	right	p8	70	80	1	20	1	237	239	237	190.0	155.42429465424473	58.04545454545455	sp2
