camera	frame	cX	cY
left	1	470	72
left	1	332	82
left	1	473	141
left	1	333	150
left	1	475	212
left	1	335	218
left	1	477	283
left	1	335	284
right	1	238	81
right	1	105	85
right	1	241	149
right	1	107	153
right	1	244	216
right	1	109	221
right	1	247	283
right	1	110	288
right	1	534	447
left	2	470	72
left	2	332	82
left	2	473	142
left	2	333	150
left	2	476	212
left	2	335	218
left	2	477	283
left	2	334	284
right	2	238	81
right	2	105	85
right	2	241	149
right	2	107	153
right	2	244	216
right	2	110	221
right	2	247	284
right	2	110	288
right	2	535	447
left	3	470	72
left	3	332	82
left	3	473	142
left	3	333	150
left	3	476	212
left	3	335	218
left	3	477	283
left	3	334	284
right	3	238	81
right	3	105	85
right	3	241	149
right	3	107	153
right	3	244	216
right	3	110	221
right	3	247	284
right	3	110	288
right	3	535	447
left	4	470	72
left	4	332	82
left	4	473	141
left	4	333	150
left	4	476	212
left	4	335	218
left	4	477	283
left	4	334	284
right	4	238	81
right	4	105	85
right	4	241	149
right	4	107	153
right	4	244	216
right	4	109	221
right	4	247	283
right	4	110	288
right	4	535	447
left	5	470	72
left	5	332	82
left	5	473	141
left	5	333	150
left	5	476	212
left	5	335	218
left	5	477	283
left	5	334	284
right	5	238	81
right	5	105	85
right	5	241	149
right	5	107	153
right	5	244	216
right	5	109	221
right	5	247	283
right	5	110	288
right	5	535	447
left	6	470	72
left	6	332	82
left	6	473	141
left	6	333	150
left	6	476	212
left	6	335	218
left	6	477	283
left	6	334	284
right	6	238	81
right	6	105	85
right	6	241	149
right	6	107	153
right	6	244	216
right	6	109	221
right	6	247	283
right	6	110	288
right	6	535	447
left	7	470	72
left	7	332	82
left	7	473	141
left	7	333	150
left	7	476	212
left	7	335	218
left	7	477	283
left	7	334	284
right	7	238	81
right	7	105	84
right	7	241	149
right	7	107	153
right	7	244	216
right	7	109	221
right	7	247	283
right	7	110	287
right	7	535	447
left	8	470	71
left	8	332	82
left	8	473	141
left	8	333	150
left	8	475	212
left	8	334	218
left	8	478	283
left	8	334	284
right	8	238	81
right	8	105	84
right	8	241	149
right	8	107	153
right	8	244	216
right	8	109	221
right	8	247	283
right	8	110	287
right	8	535	447
left	9	470	71
left	9	332	82
left	9	473	141
left	9	333	150
left	9	475	212
left	9	334	218
left	9	478	283
left	9	334	284
right	9	238	81
right	9	105	84
right	9	241	149
right	9	107	153
right	9	244	216
right	9	109	221
right	9	247	283
right	9	110	287
right	9	535	447
left	10	470	71
left	10	332	82
left	10	473	141
left	10	333	150
left	10	475	212
left	10	334	218
left	10	478	283
left	10	334	284
right	10	238	81
right	10	105	84
right	10	241	149
right	10	107	153
right	10	244	216
right	10	109	221
right	10	247	283
right	10	110	287
right	10	535	447
left	11	470	71
left	11	332	82
left	11	473	141
left	11	333	150
left	11	475	212
left	11	334	218
left	11	478	283
left	11	334	284
right	11	238	81
right	11	105	85
right	11	241	149
right	11	107	153
right	11	244	216
right	11	110	221
right	11	247	284
right	11	110	288
right	11	535	447
left	12	470	72
left	12	332	82
left	12	473	141
left	12	333	150
left	12	475	212
left	12	335	218
left	12	477	283
left	12	334	284
right	12	238	81
right	12	105	85
right	12	241	149
right	12	107	153
right	12	244	216
right	12	110	221
right	12	247	284
right	12	110	288
right	12	535	447
left	13	470	72
left	13	332	82
left	13	473	141
left	13	333	150
left	13	475	212
left	13	335	218
left	13	477	283
left	13	334	284
right	13	238	81
right	13	105	85
right	13	241	149
right	13	107	153
right	13	244	216
right	13	110	221
right	13	247	284
right	13	110	288
right	13	535	447
left	14	470	72
left	14	332	82
left	14	473	141
left	14	333	150
left	14	475	212
left	14	335	218
left	14	477	283
left	14	334	284
right	14	238	81
right	14	105	85
right	14	241	149
right	14	107	153
right	14	244	216
right	14	110	221
right	14	247	284
right	14	110	288
right	14	535	447
left	15	470	72
left	15	332	82
left	15	473	141
left	15	333	150
left	15	475	212
left	15	335	218
left	15	477	283
left	15	334	284
right	15	238	81
right	15	106	84
right	15	241	149
right	15	107	153
right	15	244	216
right	15	109	221
right	15	247	234
right	15	247	284
right	15	110	288
right	15	534	447
left	16	470	72
left	16	332	83
left	16	473	141
left	16	333	150
left	16	475	212
left	16	334	218
left	16	477	283
left	16	334	284
right	16	238	81
right	16	106	84
right	16	241	149
right	16	107	153
right	16	244	216
right	16	109	221
right	16	247	234
right	16	247	284
right	16	110	288
right	16	534	447
left	17	470	72
left	17	332	83
left	17	473	141
left	17	333	150
left	17	475	212
left	17	334	218
left	17	477	283
left	17	334	284
right	17	238	81
right	17	106	84
right	17	241	149
right	17	107	153
right	17	244	216
right	17	109	221
right	17	247	234
right	17	247	284
right	17	110	288
right	17	534	447
left	18	470	72
left	18	332	83
left	18	473	141
left	18	333	150
left	18	475	212
left	18	334	218
left	18	477	283
left	18	334	284
right	18	238	81
right	18	105	84
right	18	241	149
right	18	107	153
right	18	244	215
right	18	109	221
right	18	247	234
right	18	247	283
right	18	109	288
right	18	535	447
left	19	470	72
left	19	332	83
left	19	473	141
left	19	333	150
left	19	475	212
left	19	334	218
left	19	477	283
left	19	334	284
right	19	238	81
right	19	105	85
right	19	241	149
right	19	107	153
right	19	244	215
right	19	109	221
right	19	247	234
right	19	247	283
right	19	109	288
right	19	535	447
left	20	470	71
left	20	332	82
left	20	473	141
left	20	333	150
left	20	476	212
left	20	335	218
left	20	477	283
left	20	334	284
right	20	238	81
right	20	105	85
right	20	241	149
right	20	107	153
right	20	244	215
right	20	109	221
right	20	247	234
right	20	247	283
right	20	109	288
right	20	535	447
left	21	470	71
left	21	332	82
left	21	473	141
left	21	333	150
left	21	476	212
left	21	335	218
left	21	477	283
left	21	334	284
right	21	238	81
right	21	105	85
right	21	241	149
right	21	107	153
right	21	244	215
right	21	109	221
right	21	247	234
right	21	247	283
right	21	109	288
right	21	535	447
left	22	470	71
left	22	332	82
left	22	473	141
left	22	333	150
left	22	476	212
left	22	335	218
left	22	477	283
left	22	334	284
right	22	238	81
right	22	105	85
right	22	241	149
right	22	107	153
right	22	244	215
right	22	109	221
right	22	247	284
right	22	110	288
right	22	535	447
left	23	470	71
left	23	332	82
left	23	473	141
left	23	333	150
left	23	476	212
left	23	335	218
left	23	477	283
left	23	334	284
right	23	238	81
right	23	105	85
right	23	241	149
right	23	107	153
right	23	244	215
right	23	109	221
right	23	247	284
right	23	110	288
right	23	535	447
left	24	470	72
left	24	332	82
left	24	473	141
left	24	333	150
left	24	476	212
left	24	334	218
left	24	477	283
left	24	334	284
right	24	238	81
right	24	105	85
right	24	241	149
right	24	107	153
right	24	244	215
right	24	109	221
right	24	247	284
right	24	110	288
right	24	535	447
left	25	470	72
left	25	332	82
left	25	473	141
left	25	333	150
left	25	476	212
left	25	334	218
left	25	477	283
left	25	334	284
right	25	238	81
right	25	105	85
right	25	241	149
right	25	107	153
right	25	244	215
right	25	109	221
right	25	247	284
right	25	110	288
right	25	535	447
left	26	470	72
left	26	332	82
left	26	473	141
left	26	333	150
left	26	476	212
left	26	334	218
left	26	477	283
left	26	334	284
right	26	238	81
right	26	105	84
right	26	241	149
right	26	107	153
right	26	244	216
right	26	109	221
right	26	247	234
right	26	247	284
right	26	110	288
right	26	534	447
left	27	470	72
left	27	332	82
left	27	473	141
left	27	333	150
left	27	476	212
left	27	334	218
left	27	477	283
left	27	334	284
right	27	238	81
right	27	105	84
right	27	241	149
right	27	107	153
right	27	244	216
right	27	109	221
right	27	247	234
right	27	247	284
right	27	110	288
right	27	534	447
left	28	470	72
left	28	333	82
left	28	473	141
left	28	333	150
left	28	475	212
left	28	334	218
left	28	477	283
left	28	335	284
right	28	238	81
right	28	105	84
right	28	241	149
right	28	107	153
right	28	244	216
right	28	109	221
right	28	247	234
right	28	247	284
right	28	110	288
right	28	534	447
left	29	470	72
left	29	333	82
left	29	473	141
left	29	333	150
left	29	475	212
left	29	334	218
left	29	477	283
left	29	335	284
right	29	238	81
right	29	105	84
right	29	241	149
right	29	107	153
right	29	244	216
right	29	109	221
right	29	247	234
right	29	247	284
right	29	110	288
