frame	dist	x	y	xmin	xmax	ymin	ymax
2	93.43	314.81	327.76	212.13	418.43	255.47	403.31
3	93.69	312.73	327.19	209.57	416.59	254.27	402.57
4	93.88	310.98	326.77	207.59	415.8	253.64	401.33
5	94.13	309.51	326.27	206.31	413.85	252.96	402.13
6	94.32	308.75	326.12	204.03	413.75	252.39	402.28
7	94.6	308.26	326.09	203.11	413.81	251.51	402.5
8	94.71	308.41	326.19	202.95	413.51	251.51	403.06
9	94.93	308.9	326.43	203.41	413.97	251.51	403.15
10	94.78	310.14	327.09	204.52	414.91	252.43	403.4
11	94.74	311.42	327.86	206.32	414.96	253.52	403.41
12	94.54	313.56	329.38	208.9	416.8	255.15	404.57
13	94.33	314.11	329.88	210.37	416.8	255.77	404.58
14	94.14	314.39	330.07	211.25	417.6	256.34	404.47
15	93.97	314.38	330.33	210.84	417.26	257.13	404.42
16	93.73	314.28	330.47	210.97	416.34	257.25	404.53
17	93.42	313.09	330.46	210.79	415.07	257.44	403.93
18	92.57	309.64	329.82	208.46	410.9	256.83	403.54
19	92.1	307.49	329.43	206.4	409.04	256.59	403.0
20	91.69	305.02	328.98	204.77	405.83	256.72	402.21
21	91.43	302.4	328.48	202.06	403.08	256.78	402.12
22	90.91	299.63	327.96	200.41	400.1	256.7	400.68
23	90.19	294.16	326.51	197.37	393.68	254.97	399.53
24	89.81	291.59	325.69	194.74	391.37	254.11	398.8
25	89.46	289.17	325.0	191.28	388.66	253.93	398.11
26	89.24	287.07	324.32	189.32	386.45	253.44	397.4
27	89.01	285.3	323.78	187.72	384.55	252.62	397.38
28	88.91	283.85	323.25	185.61	383.69	251.87	397.38
29	88.4	282.0	322.63	183.4	381.43	251.38	396.51
30	88.31	281.76	322.64	183.49	380.66	251.39	396.42
31	88.16	281.46	322.7	183.57	380.59	251.41	396.48
32	88.0	281.25	322.81	183.67	380.06	251.57	396.36
33	87.87	281.08	322.94	183.62	379.5	251.7	396.38
34	87.75	280.84	323.72	183.54	378.47	253.15	397.21
35	87.47	280.74	323.96	182.91	378.35	253.26	396.86
36	87.46	280.58	323.89	183.35	377.69	253.42	396.86
37	87.36	280.23	323.59	183.78	377.5	252.8	396.51
38	86.91	279.65	323.08	183.38	377.25	252.22	395.6
39	86.9	278.25	321.42	183.12	375.04	251.53	394.33
40	86.5	277.47	321.07	183.23	373.73	251.53	393.58
41	86.31	276.71	320.48	182.24	372.98	250.65	392.2
42	86.28	276.33	320.18	181.87	372.58	250.13	392.37
43	86.27	275.68	319.7	181.48	372.17	249.88	391.86
44	86.13	274.87	319.46	181.93	370.77	249.4	392.16
45	85.99	274.08	319.17	181.33	371.05	249.3	391.03
46	85.81	272.25	318.86	180.27	368.34	249.15	390.33
47	85.92	271.6	318.81	180.32	368.57	248.86	389.8
48	85.82	270.62	318.68	178.67	366.17	249.08	389.29
49	85.71	269.62	318.55	177.67	365.72	248.84	389.18
50	85.7	269.02	318.48	177.31	363.48	249.33	389.23
51	85.64	267.3	318.22	176.77	362.67	249.13	388.96
52	85.71	267.1	318.15	174.9	362.66	248.93	388.8
53	85.74	266.97	318.2	175.17	362.33	248.89	388.8
54	85.71	266.81	318.37	174.91	362.32	248.68	388.83
55	85.68	266.75	318.53	174.95	362.33	249.66	388.87
56	85.75	266.92	318.77	174.68	362.38	249.41	388.21
57	85.69	266.94	318.78	174.59	362.23	250.02	388.28
58	85.74	266.84	318.72	174.38	361.64	249.88	388.23
59	85.78	266.29	318.35	174.25	361.28	249.74	386.85
60	85.82	264.44	317.42	172.61	360.29	248.59	385.92
61	85.66	262.55	316.35	170.61	357.99	247.99	385.8
62	85.44	257.78	313.93	166.42	352.82	244.97	384.75
63	85.5	255.3	312.57	163.22	350.81	243.74	383.81
64	85.33	252.97	311.48	161.54	348.32	242.46	382.76
65	85.11	250.67	310.17	159.01	345.57	240.84	381.55
66	85.18	248.81	309.18	157.11	344.21	240.23	380.13
67	85.37	246.1	307.7	153.71	341.45	237.85	379.6
68	85.32	245.91	307.65	153.71	341.05	237.95	379.68
69	85.4	245.66	307.47	153.78	340.91	238.29	379.64
70	85.41	245.62	307.49	153.78	340.89	238.33	379.64
71	85.75	246.18	307.65	154.29	341.45	238.34	379.78
72	86.18	247.44	308.63	156.57	342.54	239.15	380.37
73	86.7	249.54	310.79	157.33	346.71	242.21	382.27
74	87.04	250.7	311.8	158.89	347.33	242.35	383.06
75	87.0	251.52	312.7	159.93	348.19	244.12	384.12
76	87.34	252.43	313.44	159.74	349.21	244.12	385.59
77	87.55	253.02	313.84	160.31	350.15	244.2	385.82
78	87.96	254.7	314.64	161.45	351.83	245.14	386.27
79	88.03	255.33	314.98	161.4	352.69	245.26	386.86
80	88.15	256.39	315.4	161.63	353.51	245.4	386.93
81	88.16	257.44	315.9	163.16	354.62	245.47	387.14
82	88.24	258.5	316.17	163.54	355.36	245.29	387.53
83	88.12	260.9	316.73	167.12	358.21	245.93	388.39
84	88.27	262.06	316.97	167.26	359.58	246.24	388.38
85	88.24	263.44	317.27	169.28	361.28	247.01	389.1
86	88.16	264.76	317.63	169.46	361.94	246.87	388.59
87	88.02	266.34	317.98	171.67	363.28	247.82	389.25
88	87.92	267.9	318.08	173.59	365.59	247.85	388.44
89	87.72	270.62	317.93	176.64	367.6	247.73	386.85
90	87.68	271.32	317.86	177.43	368.04	247.77	386.72
91	87.63	271.81	317.76	177.62	367.9	247.8	386.86
