	camera	frame	cX	cY	pulse
0	left	1	528	156	p1
1	left	2	528	156	p1
2	left	3	528	156	p1
3	left	4	528	156	p1
4	left	5	528	156	p1
5	left	6	528	156	p1
6	left	7	528	156	p1
7	left	8	528	156	p1
8	left	9	528	156	p1
9	left	10	528	156	p1
10	left	11	528	156	p1
11	left	12	528	156	p1
12	left	13	528	156	p1
13	left	14	528	156	p1
14	left	15	528	156	p1
15	left	16	528	156	p1
16	left	17	528	156	p1
17	left	18	528	156	p1
18	left	19	528	156	p1
19	left	20	528	156	p1
20	left	21	528	156	p1
21	left	22	528	156	p1
22	left	23	528	156	p1
23	left	24	528	156	p1
24	left	25	528	156	p1
25	left	26	528	156	p1
26	left	27	528	156	p1
27	left	28	528	156	p1
28	left	29	528	156	p1
29	left	30	528	156	p1
30	left	31	528	156	p1
31	left	32	528	156	p1
32	left	33	528	156	p1
33	left	34	528	156	p1
34	left	35	528	156	p1
35	left	36	528	156	p1
36	left	37	528	156	p1
37	left	38	528	156	p1
38	left	39	528	156	p1
39	left	40	528	156	p1
40	left	41	528	156	p1
41	left	42	528	156	p1
42	left	43	528	156	p1
43	left	44	528	156	p1
44	left	45	528	156	p1
45	left	46	528	156	p1
46	left	47	528	156	p1
47	left	48	528	156	p1
48	left	49	528	156	p1
49	left	50	528	156	p1
50	left	51	528	156	p1
51	left	52	528	156	p1
52	left	53	528	156	p1
82	left	54	529	156	p1
83	left	55	529	156	p1
84	left	56	529	156	p1
53	left	57	528	156	p1
54	left	58	528	156	p1
55	left	59	528	156	p1
56	left	60	528	156	p1
57	left	61	528	156	p1
58	left	62	528	156	p1
59	left	63	528	156	p1
60	left	64	528	156	p1
61	left	65	528	156	p1
62	left	66	528	156	p1
63	left	67	528	156	p1
64	left	68	528	156	p1
65	left	69	528	156	p1
66	left	70	528	156	p1
67	left	71	528	156	p1
68	left	72	528	156	p1
69	left	73	528	156	p1
70	left	74	528	156	p1
71	left	75	528	156	p1
72	left	76	528	156	p1
73	left	77	528	156	p1
74	left	78	528	156	p1
75	left	79	528	156	p1
76	left	80	528	156	p1
77	left	81	528	156	p1
78	left	82	528	156	p1
79	left	83	528	156	p1
85	left	84	529	156	p1
86	left	85	529	156	p1
87	left	86	529	156	p1
88	left	87	529	156	p1
80	left	88	528	156	p1
81	left	89	528	156	p1
801	right	31	43	62	p10
802	right	32	43	62	p10
803	right	33	43	62	p10
804	right	34	43	62	p10
805	right	35	43	62	p10
806	right	36	43	62	p10
807	right	37	43	62	p10
808	right	38	43	62	p10
809	right	39	43	62	p10
810	right	40	43	62	p10
811	right	41	43	62	p10
812	right	53	43	62	p10
813	right	54	43	62	p10
814	right	55	43	62	p10
815	right	56	43	62	p10
816	right	72	43	62	p10
817	right	73	43	62	p10
818	right	74	43	62	p10
819	right	75	43	62	p10
820	right	83	43	62	p10
821	right	84	43	62	p10
822	right	85	43	62	p10
823	right	86	43	62	p10
868	right	1	417	154	p11
869	right	2	417	154	p11
870	right	3	417	154	p11
871	right	4	417	154	p11
872	right	5	417	154	p11
873	right	6	417	154	p11
874	right	7	417	154	p11
828	right	8	416	154	p11
829	right	9	416	154	p11
830	right	10	416	154	p11
831	right	11	416	154	p11
875	right	12	417	154	p11
876	right	13	417	154	p11
