	camera	frame	cX	cY	area	minI	maxI	meanI	pulse
37	left	1	361	94	5.0	109.0	148.0	130.4	p1
22	left	2	361	93	3.0	115.0	145.0	127.42857142857142	p1
23	left	3	361	93	3.0	115.0	145.0	127.42857142857142	p1
24	left	4	361	93	3.0	115.0	145.0	127.42857142857142	p1
25	left	5	361	93	3.0	115.0	145.0	127.42857142857142	p1
38	left	6	361	94	6.0	109.0	150.0	121.75	p1
39	left	7	361	94	6.0	109.0	150.0	121.75	p1
40	left	8	361	94	6.0	109.0	150.0	121.75	p1
41	left	9	361	94	6.0	109.0	150.0	121.75	p1
42	left	10	361	94	3.0	108.0	133.0	116.28571428571428	p1
43	left	11	361	94	3.0	108.0	133.0	116.28571428571428	p1
44	left	12	361	94	3.0	108.0	133.0	116.28571428571428	p1
45	left	13	361	94	3.0	108.0	133.0	116.28571428571428	p1
26	left	14	360	94	5.5	124.0	159.0	136.72727272727272	p1
27	left	15	360	94	5.5	124.0	159.0	136.72727272727272	p1
28	left	16	360	94	5.5	124.0	159.0	136.72727272727272	p1
29	left	17	360	94	4.5	109.0	141.0	122.3	p1
30	left	18	360	94	4.5	109.0	141.0	122.3	p1
31	left	19	360	94	4.5	109.0	141.0	122.3	p1
32	left	20	360	94	4.5	109.0	141.0	122.3	p1
33	left	21	360	94	5.5	109.0	147.0	128.54545454545456	p1
34	left	22	360	94	5.5	109.0	147.0	128.54545454545456	p1
35	left	23	360	94	5.5	109.0	147.0	128.54545454545456	p1
36	left	24	360	94	5.5	109.0	147.0	128.54545454545456	p1
0	left	25	360	93	2.5	114.0	147.0	125.14285714285714	p1
1	left	26	360	93	2.5	114.0	147.0	125.14285714285714	p1
2	left	27	360	93	2.5	114.0	147.0	125.14285714285714	p1
3	left	28	360	93	2.5	114.0	147.0	125.14285714285714	p1
4	left	29	360	93	2.0	116.0	137.0	124.33333333333331	p1
5	left	30	360	93	2.0	116.0	137.0	124.33333333333331	p1
6	left	31	360	93	2.0	116.0	137.0	124.33333333333331	p1
7	left	32	360	93	3.5	109.0	140.0	121.0	p1
8	left	33	360	93	3.5	109.0	140.0	121.0	p1
9	left	34	360	93	3.5	109.0	140.0	121.0	p1
10	left	35	360	93	3.5	109.0	140.0	121.0	p1
11	left	36	360	93	3.5	112.0	151.0	128.5	p1
12	left	37	360	93	3.5	112.0	151.0	128.5	p1
13	left	38	360	93	3.5	112.0	151.0	128.5	p1
