pname	lname	rname	start	end	duration	disparity	d2cam	lrd	height
sp0	p12	p2	161	170	0.3	120	502.299	453.0	89.0
sp1	p14	p3	178	187	0.3	111	543.026	465.946	145.946
sp2	p15	p4	195	204	0.3	117	515.179	449.231	188.718
sp3	p16	p5	214	219	0.17	121	498.148	429.421	241.983
sp4	p17	p6	229	234	0.17	118	510.813	430.17	310.17
sp5	p18	p7	244	249	0.17	115	524.138	400.695	378.782
