	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
0	left	p1	50	57	406	409	406	45	46	45	sp0
2	right	p4	48	55	262	265	262	40	40	40	sp0
1	left	p16	69	75	394	398	398	106	106	106	sp1
3	right	p5	67	74	266	269	266	105	105	105	sp1
2	left	p17	76	83	246	246	246	118	119	118	sp2
4	right	p6	75	81	260	261	260	123	124	124	sp2
3	left	p18	88	94	370	373	370	155	155	155	sp3
5	right	p7	86	92	248	251	251	156	157	156	sp3
4	left	p19	103	109	356	359	359	199	199	199	sp4
6	right	p8	101	107	232	236	236	202	202	202	sp4
5	left	p20	122	124	333	333	333	255	255	255	sp5
0	right	p10	120	122	204	204	204	260	260	260	sp5
6	left	p21	137	139	282	283	283	322	322	322	sp6
1	right	p12	135	138	143	143	143	331	331	331	sp6
