	camera	frame	cX	cY	pulse
0	left	50	409	45	p1
1	left	51	409	45	p1
2	left	52	409	45	p1
3	left	53	409	45	p1
4	left	54	406	46	p1
5	left	55	406	46	p1
6	left	56	406	46	p1
7	left	57	406	46	p1
67	right	120	204	260	p10
68	right	121	204	260	p10
69	right	122	204	260	p10
70	left	65	341	445	p11
71	left	66	341	445	p11
72	left	67	341	445	p11
73	left	68	341	445	p11
74	right	135	143	331	p12
75	right	136	143	331	p12
76	right	137	143	331	p12
77	right	138	143	331	p12
78	right	150	92	392	p13
79	right	151	92	392	p13
80	right	152	92	392	p13
81	right	153	92	392	p13
82	right	251	176	127	p14
83	right	252	176	127	p14
84	right	253	176	127	p14
85	right	254	176	127	p14
86	right	326	100	108	p15
87	right	327	100	108	p15
88	right	328	100	108	p15
89	right	329	100	108	p15
93	left	69	398	106	p16
94	left	70	398	106	p16
95	left	71	398	106	p16
96	left	72	398	106	p16
90	left	73	394	106	p16
91	left	74	394	106	p16
92	left	75	394	106	p16
97	left	76	246	118	p17
98	left	77	246	118	p17
99	left	78	246	118	p17
100	left	79	246	118	p17
101	left	80	246	119	p17
102	left	81	246	119	p17
103	left	82	246	119	p17
104	left	83	246	119	p17
109	left	88	373	155	p18
110	left	89	373	155	p18
111	left	90	373	155	p18
105	left	91	370	155	p18
106	left	92	370	155	p18
107	left	93	370	155	p18
108	left	94	370	155	p18
115	left	103	359	199	p19
116	left	104	359	199	p19
117	left	105	359	199	p19
118	left	106	359	199	p19
112	left	107	356	199	p19
113	left	108	356	199	p19
114	left	109	356	199	p19
8	left	167	167	438	p2
9	left	168	167	438	p2
10	left	169	167	438	p2
11	left	170	159	440	p2
15	left	170	165	440	p2
12	left	171	159	440	p2
16	left	171	165	440	p2
13	left	172	159	440	p2
17	left	172	165	440	p2
14	left	173	159	440	p2
18	left	173	165	440	p2
119	left	122	333	255	p20
120	left	123	333	255	p20
121	left	124	333	255	p20
123	left	137	283	322	p21
122	left	138	282	322	p21
124	left	139	283	322	p21
19	left	242	340	445	p3
20	left	243	340	445	p3
21	left	244	340	445	p3
22	left	298	341	445	p3
23	left	299	341	445	p3
24	left	300	341	445	p3
25	left	301	341	445	p3
30	right	48	265	40	p4
31	right	49	265	40	p4
32	right	50	265	40	p4
33	right	51	265	40	p4
26	right	52	262	40	p4
27	right	53	262	40	p4
28	right	54	262	40	p4
29	right	55	262	40	p4
38	right	67	269	105	p5
39	right	68	269	105	p5
40	right	69	269	105	p5
41	right	70	269	105	p5
34	right	71	266	105	p5
35	right	72	266	105	p5
36	right	73	266	105	p5
37	right	74	266	105	p5
42	right	75	261	123	p6
43	right	76	261	123	p6
44	right	77	261	123	p6
45	right	78	260	124	p6
46	right	79	260	124	p6
47	right	80	260	124	p6
48	right	81	260	124	p6
49	right	86	251	156	p7
50	right	87	251	156	p7
51	right	88	251	156	p7
52	right	89	251	156	p7
54	right	90	249	157	p7
53	right	91	248	157	p7
55	right	92	249	157	p7
59	right	101	236	202	p8
60	right	102	236	202	p8
61	right	103	236	202	p8
62	right	104	236	202	p8
56	right	105	232	202	p8
57	right	106	232	202	p8
58	right	107	232	202	p8
63	right	112	244	124	p9
64	right	113	244	124	p9
65	right	114	244	124	p9
66	right	115	244	124	p9
