frame	dist	x	y	xmin	xmax	ymin	ymax
108	82.34	176.6	345.78	91.62	267.19	278.01	415.39
109	82.38	176.99	346.16	92.43	267.18	278.95	415.5
110	82.34	177.2	346.32	92.1	267.78	278.8	415.52
111	82.22	177.24	346.32	92.1	267.61	278.82	415.62
112	81.54	175.33	345.46	91.18	265.21	278.42	416.04
113	81.04	173.72	344.78	90.72	263.41	277.58	415.15
114	80.61	172.15	343.97	88.5	261.89	276.73	414.35
116	79.86	170.41	342.77	88.51	258.72	276.61	412.68
117	79.36	169.61	342.22	87.61	257.71	276.94	411.3
118	79.26	169.49	342.16	87.76	257.56	276.86	411.03
119	79.1	169.51	342.15	87.64	257.39	276.8	411.17
120	78.9	169.42	342.27	87.86	255.98	277.03	411.12
121	78.54	169.44	342.53	88.63	255.89	276.9	410.77
122	78.17	169.71	342.86	88.67	256.61	277.5	411.2
123	77.56	171.15	344.04	90.63	257.11	279.86	411.83
124	77.14	172.1	344.76	93.34	257.3	280.69	411.9
125	76.94	173.01	345.7	93.34	257.95	281.54	411.86
126	76.73	173.81	346.68	95.47	258.23	283.18	412.32
127	76.58	174.42	347.34	95.04	258.68	284.11	414.45
128	76.27	175.69	348.81	96.71	259.12	285.02	415.09
129	76.17	176.35	349.54	97.86	260.88	286.54	415.1
130	75.54	177.44	350.25	100.86	260.57	288.15	415.28
131	75.64	178.82	351.01	100.98	260.99	288.95	415.48
132	75.39	180.15	351.43	103.08	262.6	289.97	415.92
133	75.28	181.82	352.14	103.58	263.73	291.46	415.89
134	74.89	184.47	352.91	106.8	265.61	292.03	416.25
135	74.61	185.15	352.98	107.84	266.43	291.73	416.45
136	75.37	185.48	353.22	91.21	267.97	292.2	416.43
137	74.19	186.49	353.05	109.37	268.24	292.73	416.44
138	74.13	186.66	353.06	109.53	268.6	292.78	415.95
139	73.66	186.6	352.82	110.2	268.55	292.82	415.35
140	73.32	186.25	352.38	110.31	266.72	292.56	414.62
141	73.06	185.94	351.85	110.17	266.91	292.37	414.41
142	72.68	185.53	351.42	110.38	265.91	292.15	413.11
143	72.67	185.45	351.14	110.47	266.01	291.79	413.22
144	72.22	185.99	350.34	112.02	266.35	291.44	411.42
145	72.12	186.74	350.24	111.76	267.09	291.67	411.41
146	71.91	188.18	350.26	112.82	267.74	291.46	410.4
147	72.09	189.56	350.36	114.69	269.38	291.58	410.68
148	71.9	191.4	350.54	116.85	271.64	291.53	410.73
149	71.71	193.1	350.71	119.87	272.6	291.61	410.73
155	69.93	201.05	350.7	128.34	279.28	293.38	409.72
493	80.81	370.08	319.69	287.72	451.95	265.62	372.29
500	80.81	370.93	316.04	288.23	452.86	261.23	369.44
501	80.86	369.81	314.78	286.73	452.75	260.1	369.23
502	81.12	368.64	313.79	284.5	452.47	257.74	367.87
505	81.04	365.58	312.27	279.64	448.89	255.64	366.0
506	80.98	364.67	312.95	280.62	447.62	256.33	366.03
507	81.08	364.35	314.11	278.91	447.53	257.56	368.14
511	80.85	367.26	320.71	281.89	451.99	264.06	374.9
512	80.73	368.76	321.29	282.88	451.95	264.96	374.28
514	80.79	371.33	322.41	285.94	454.54	265.93	375.02
515	80.74	372.54	322.54	287.35	456.01	265.99	375.68
516	80.77	375.43	322.88	291.82	459.58	267.04	375.32
517	80.63	376.51	322.85	292.53	459.57	266.75	375.36
519	81.49	378.86	322.59	294.75	463.65	267.02	375.5
520	81.61	379.39	322.41	295.15	463.64	266.86	374.92
521	81.54	379.6	322.13	295.26	463.64	266.81	374.79
522	81.82	380.27	321.11	295.05	464.05	264.37	374.76
523	81.96	380.44	320.62	294.6	465.0	263.21	373.58
524	82.3	380.56	320.01	294.85	464.97	261.84	373.31
525	82.43	380.61	319.31	294.52	464.67	261.2	373.34
526	82.55	380.64	318.45	294.51	464.63	259.76	372.72
527	82.55	380.72	318.01	294.37	464.52	259.74	371.81
528	82.89	381.28	316.86	294.61	464.75	258.85	372.11
529	83.03	381.65	316.0	294.86	465.87	258.06	369.74
530	83.28	382.26	315.22	295.24	466.14	257.52	369.83
531	83.37	382.88	314.53	295.75	466.58	256.97	368.56
532	83.44	383.37	314.1	295.95	467.0	256.84	367.87
533	83.69	384.4	313.26	297.87	468.11	255.87	367.06
534	83.76	384.7	313.21	297.98	469.84	255.67	366.75
535	83.8	385.5	313.22	299.57	470.72	255.71	367.01
536	83.85	386.22	313.61	299.56	470.61	256.0	366.88
537	84.03	386.94	314.45	299.64	472.4	257.59	367.98
538	83.99	388.58	317.82	301.44	473.47	261.5	371.56
539	84.09	389.18	319.86	302.26	474.32	262.56	373.39
540	84.03	390.18	321.89	302.42	475.24	264.37	375.61
541	83.83	391.18	323.98	304.63	476.73	266.81	377.22
543	83.58	393.26	328.99	305.45	477.94	270.98	382.46
544	83.68	393.72	329.6	305.57	478.24	271.45	382.65
545	83.66	394.27	330.06	306.29	478.43	271.3	383.36
546	83.71	394.76	329.99	306.59	478.69	270.88	383.48
547	83.78	395.24	329.7	307.04	478.84	270.3	383.37
548	84.0	395.95	328.42	307.71	480.48	268.84	382.66
549	84.43	396.21	325.16	308.32	480.07	266.27	380.74
550	84.69	396.28	323.72	309.47	480.09	263.92	379.71
551	84.89	395.9	322.27	307.61	480.04	262.84	377.48
552	85.1	395.47	321.28	306.8	479.86	261.21	376.66
553	85.36	395.05	320.35	305.75	479.71	260.55	376.63
554	85.92	394.18	318.84	303.74	479.7	258.01	374.94
555	86.06	394.01	318.58	303.72	480.65	257.7	375.27
556	86.19	393.52	318.13	303.64	480.17	257.04	374.63
557	86.21	393.27	317.93	303.58	479.86	257.2	374.31
558	86.24	393.2	317.68	303.57	479.7	256.83	374.11
559	86.3	393.25	317.55	303.56	479.48	256.5	373.72
560	86.26	393.55	318.07	303.33	479.71	257.03	374.4
561	86.42	394.75	318.54	304.77	480.65	256.96	375.38
562	86.16	396.45	319.19	307.44	481.36	258.17	375.33
563	85.68	398.08	319.65	309.75	482.99	259.37	375.64
564	85.55	399.51	320.12	312.17	485.49	259.92	376.3
565	85.11	402.28	321.05	315.32	486.34	261.43	375.97
566	84.76	403.41	321.51	316.25	486.96	262.51	376.55
567	84.54	404.45	322.05	317.3	487.98	263.45	376.94
568	84.18	404.89	322.53	318.43	488.67	263.59	377.41
569	83.95	405.27	323.2	318.54	486.19	264.32	377.86
570	83.96	405.47	323.62	318.43	487.35	265.31	378.05
571	83.51	406.09	324.46	320.48	489.39	266.91	378.94
572	83.51	406.26	324.76	321.28	488.89	267.95	378.92
573	83.17	406.58	325.54	321.83	489.09	269.71	380.07
574	83.22	407.07	326.37	321.38	489.23	270.7	380.17
575	82.89	407.69	327.08	322.22	489.3	271.76	381.23
576	82.23	410.15	327.88	326.16	491.54	272.56	381.79
577	82.04	411.28	328.08	327.12	492.43	273.47	381.79
