	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	maxI	meanI	meanArea	spulse
0	left	p19	21	35	399	401	400	63	67	63	187.0	145.69759747577191	23.8	sp0
7	right	p9	23	33	366	366	366	68	69	68	183.0	149.76585179526356	34.18181818181818	sp0
1	left	p21	81	87	354	356	354	81	81	81	194.0	156.3095238095238	22.857142857142858	sp1
0	right	p11	79	85	318	320	320	85	86	86	182.0	152.35646258503402	23.0	sp1
2	left	p22	100	102	338	338	338	101	101	101	175.0	149.0	6.0	sp2
1	right	p13	98	104	302	302	302	106	107	107	186.0	155.4228571428571	11.571428571428571	sp2
3	left	p23	103	110	81	81	81	55	55	55	179.0	148.47596153846155	5.25	sp3
2	right	p14	105	108	38	38	38	55	55	55	175.0	150.05555555555554	11.0	sp3
4	left	p25	122	125	327	327	327	126	126	126	187.0	151.0	10.0	sp4
3	right	p15	120	123	289	289	289	131	131	131	189.0	154.34782608695653	15.5	sp4
5	left	p26	137	144	315	317	315	156	156	156	177.0	145.03125	5.0	sp5
4	right	p16	135	142	276	279	276	161	162	161	184.0	146.59027777777774	7.5	sp5
6	left	p4	160	162	287	287	287	185	185	185	183.0	152.04166666666666	15.5	sp6
5	right	p17	158	161	248	248	248	191	191	191	180.0	149.21052631578945	10.5	sp6
7	left	p7	193	196	50	50	50	83	83	83	165.0	146.11111111111111	4.0	sp7
6	right	p18	192	194	3	3	3	86	86	86	150.0	135.75	6.0	sp7
