camera	frame	cX	cY
left	1	412	172
left	1	344	176
left	1	413	207
left	1	344	210
left	1	415	241
left	1	346	244
left	1	417	276
left	1	345	278
right	1	268	174
right	1	202	177
right	1	270	208
right	1	203	210
right	1	271	241
right	1	204	244
right	1	273	275
right	1	204	277
right	1	535	447
left	2	412	172
left	2	344	176
left	2	414	207
left	2	345	210
left	2	415	241
left	2	346	244
left	2	416	276
left	2	345	277
right	2	268	174
right	2	202	176
right	2	269	207
right	2	203	210
right	2	271	241
right	2	204	244
right	2	273	275
right	2	204	277
right	2	534	447
left	3	412	172
left	3	344	176
left	3	414	207
left	3	345	210
left	3	415	241
left	3	346	244
left	3	416	276
left	3	345	277
right	3	268	174
right	3	202	177
right	3	269	208
right	3	203	210
right	3	271	241
right	3	204	244
right	3	273	275
right	3	204	277
right	3	535	447
left	4	412	172
left	4	343	176
left	4	413	207
left	4	344	210
left	4	415	241
left	4	346	244
left	4	416	276
left	4	345	278
right	4	268	174
right	4	202	177
right	4	269	208
right	4	203	210
right	4	271	241
right	4	204	244
right	4	273	275
right	4	204	277
right	4	535	447
left	5	412	172
left	5	343	176
left	5	413	207
left	5	344	210
left	5	415	241
left	5	346	244
left	5	416	276
left	5	345	278
right	5	268	174
right	5	202	176
right	5	269	208
right	5	203	210
right	5	271	241
right	5	204	244
right	5	273	275
right	5	204	277
right	5	535	447
left	6	412	172
left	6	343	176
left	6	413	207
left	6	344	210
left	6	415	241
left	6	346	244
left	6	416	276
left	6	345	278
right	6	268	174
right	6	202	176
right	6	269	208
right	6	203	210
right	6	271	241
right	6	204	244
right	6	273	275
right	6	204	277
right	6	535	447
left	7	412	172
left	7	343	176
left	7	413	207
left	7	344	210
left	7	415	241
left	7	346	244
left	7	416	276
left	7	345	278
right	7	268	174
right	7	202	176
right	7	269	208
right	7	203	210
right	7	271	241
right	7	204	244
right	7	273	275
right	7	204	277
right	7	535	447
left	8	412	171
left	8	344	176
left	8	414	206
left	8	344	210
left	8	415	241
left	8	346	244
left	8	416	276
left	8	346	277
right	8	268	174
right	8	202	176
right	8	269	208
right	8	203	210
right	8	271	241
right	8	204	244
right	8	273	275
right	8	204	277
right	8	535	447
left	9	412	171
left	9	344	176
left	9	414	206
left	9	344	210
left	9	415	241
left	9	346	244
left	9	416	276
left	9	346	277
right	9	268	174
right	9	202	176
right	9	270	208
right	9	203	210
right	9	271	241
right	9	204	244
right	9	273	275
right	9	204	277
right	9	535	447
left	10	412	171
left	10	344	176
left	10	414	206
left	10	344	210
left	10	415	241
left	10	346	244
left	10	416	276
left	10	346	277
right	10	268	174
right	10	202	176
right	10	270	208
right	10	203	210
right	10	271	241
right	10	204	244
right	10	273	275
right	10	204	277
right	10	535	447
left	11	412	171
left	11	344	176
left	11	414	206
left	11	344	210
left	11	415	241
left	11	346	244
left	11	416	276
left	11	346	277
right	11	268	174
right	11	202	176
right	11	270	208
right	11	203	210
right	11	271	241
right	11	204	244
right	11	273	275
right	11	204	277
right	11	535	447
left	12	413	171
left	12	344	176
left	12	414	207
left	12	344	210
left	12	415	241
left	12	346	244
left	12	416	276
left	12	345	278
right	12	268	174
right	12	202	176
right	12	270	208
right	12	203	210
right	12	271	241
right	12	204	244
right	12	273	275
right	12	204	277
right	12	535	447
left	13	413	171
left	13	344	176
left	13	414	207
left	13	344	210
left	13	415	241
left	13	346	244
left	13	416	276
left	13	345	278
right	13	268	174
right	13	202	176
right	13	270	208
right	13	203	210
right	13	271	241
right	13	204	244
right	13	273	275
right	13	204	277
right	13	535	447
left	14	413	171
left	14	344	176
left	14	414	207
left	14	344	210
left	14	415	241
left	14	346	244
left	14	416	276
left	14	345	278
right	14	268	174
right	14	202	176
right	14	270	208
right	14	203	210
right	14	271	241
right	14	204	244
right	14	273	275
right	14	204	277
right	14	535	447
left	15	413	171
left	15	344	176
left	15	414	207
left	15	344	210
left	15	415	241
left	15	346	244
left	15	416	276
left	15	345	278
right	15	268	174
right	15	202	176
right	15	270	208
right	15	203	210
right	15	271	241
right	15	204	244
right	15	273	275
right	15	204	277
right	15	535	447
left	16	412	171
left	16	344	176
