	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
0	left	p1	1	89	528	529	528	156	156	156	sp0
0	right	p11	1	89	416	417	417	153	154	154	sp0
1	left	p2	1	89	532	533	532	191	191	191	sp1
1	right	p12	1	89	420	420	420	188	188	188	sp1
2	left	p3	1	89	536	537	536	226	226	226	sp2
2	right	p13	1	89	423	424	424	222	223	222	sp2
3	left	p5	1	89	601	602	601	146	147	147	sp3
4	right	p15	1	89	486	487	486	144	145	144	sp3
4	left	p6	1	89	606	608	607	181	182	182	sp4
5	right	p16	1	89	489	491	490	179	179	179	sp4
5	left	p7	1	89	611	612	612	217	218	217	sp5
6	right	p17	1	89	494	495	495	213	214	213	sp5
6	left	p8	1	89	616	618	617	253	254	253	sp6
3	right	p14	1	89	426	427	427	256	257	256	sp6
