	camera	frame	cX	cY	pulse
47	right	58	143	51	p8
48	right	59	143	51	p8
49	right	60	144	49	p8
50	right	61	144	49	p8
51	right	62	144	49	p8
52	right	71	136	109	p9
53	right	72	136	109	p9
54	right	73	136	109	p9
55	right	74	136	110	p9
56	right	75	137	110	p9
57	right	76	137	110	p9
58	right	77	137	110	p9
59	right	78	138	112	p9
60	right	79	138	112	p9
61	right	80	138	112	p9
62	right	81	138	112	p9
