	camera	frame	cX	cY	pulse
4	left	50	225	24	p1
5	left	51	225	24	p1
6	left	52	225	24	p1
7	left	53	225	24	p1
0	left	54	223	25	p1
1	left	55	223	25	p1
2	left	56	223	25	p1
3	left	57	223	25	p1
53	right	88	61	147	p10
54	right	89	61	147	p10
55	right	90	61	147	p10
56	right	91	61	147	p10
50	right	92	60	148	p10
51	right	93	60	148	p10
52	right	94	60	148	p10
57	right	88	631	359	noise
58	right	89	631	359	noise
59	right	90	631	359	noise
60	right	91	631	359	noise
64	right	103	46	191	p12
65	right	104	46	191	p12
66	right	105	46	191	p12
67	right	106	46	191	p12
61	right	107	44	191	p12
62	right	108	44	191	p12
63	right	109	44	191	p12
68	right	110	632	357	noise
69	right	111	632	357	noise
70	right	112	632	357	noise
71	right	113	632	357	noise
72	right	122	24	242	p14
73	right	123	24	242	p14
74	right	124	24	242	p14
78	left	69	207	85	p15
79	left	70	207	85	p15
80	left	71	207	85	p15
81	left	72	207	85	p15
75	left	73	203	86	p15
76	left	74	203	86	p15
77	left	75	203	86	p15
82	right	152	630	359	noise
83	right	153	630	359	noise
84	right	154	630	359	noise
85	right	155	630	359	noise
86	right	159	631	358	noise
87	right	160	631	358	noise
88	right	161	631	358	noise
89	right	162	631	358	noise
90	right	184	629	358	noise
91	right	185	629	358	noise
92	right	197	629	359	noise
93	right	198	629	359	noise
94	right	199	629	359	noise
95	right	200	629	359	noise
96	right	204	632	359	noise
97	right	205	632	359	noise
98	right	206	632	359	noise
99	right	207	632	359	noise
100	right	219	45	462	p18
101	right	220	45	462	p18
102	right	221	45	462	p18
103	right	222	45	462	p18
104	right	249	630	359	noise
105	right	250	630	359	noise
106	right	251	630	359	noise
107	right	252	630	359	noise
108	right	265	632	359	noise
109	right	266	632	359	noise
110	right	267	632	359	noise
111	right	283	632	359	noise
112	right	284	632	359	noise
113	right	285	632	359	noise
114	right	286	632	359	noise
8	left	182	16	392	p2
9	left	183	16	392	p2
10	left	184	16	392	p2
119	left	76	93	118	p20
120	left	77	93	118	p20
121	left	78	93	118	p20
122	left	79	93	118	p20
115	left	80	93	117	p20
116	left	81	93	117	p20
117	left	82	93	117	p20
118	left	83	93	117	p20
123	right	300	31	475	too_short
124	right	301	31	475	too_short
129	right	332	630	359	noise
130	right	333	630	359	noise
128	right	334	630	358	noise
131	right	335	630	359	noise
125	right	336	629	358	noise
126	right	337	629	358	noise
127	right	338	629	358	noise
132	right	347	630	359	noise
133	right	348	630	359	noise
134	right	349	630	359	noise
135	right	350	630	359	noise
136	right	358	631	358	noise
137	right	359	631	358	noise
138	right	360	631	359	noise
139	right	361	631	359	noise
144	left	88	177	139	p23
145	left	89	177	139	p23
146	left	90	177	139	p23
140	left	91	174	140	p23
141	left	92	174	140	p23
142	left	93	174	140	p23
143	left	94	174	140	p23
150	left	103	159	185	p24
151	left	104	159	185	p24
152	left	105	159	185	p24
153	left	106	159	185	p24
147	left	107	156	185	p24
148	left	108	156	185	p24
149	left	109	156	185	p24
154	left	122	132	241	p25
155	left	123	132	241	p25
156	left	124	132	241	p25
157	left	137	93	297	p26
158	left	138	93	297	p26
159	left	139	93	297	p26
160	left	152	64	335	p27
161	left	153	64	335	p27
162	left	154	64	335	p27
11	left	242	204	314	p3
12	left	243	204	314	p3
13	left	244	204	314	p3
14	right	31	631	359	noise
15	right	32	631	359	noise
16	right	33	631	359	noise
17	right	34	631	359	noise
18	right	41	211	446	too_short
19	right	42	211	446	too_short
24	right	50	91	42	p6
25	right	51	91	42	p6
26	right	52	91	42	p6
27	right	53	91	42	p6
20	right	54	89	43	p6
21	right	55	89	43	p6
22	right	56	89	43	p6
23	right	57	89	43	p6
28	right	77	73	116	p7
29	right	78	73	116	p7
30	right	79	73	116	p7
31	right	80	73	116	p7
32	right	81	73	116	p7
33	right	82	73	116	p7
34	right	83	73	116	p7
39	right	69	82	97	p8
40	right	70	82	97	p8
41	right	71	82	97	p8
42	right	72	82	97	p8
35	right	73	80	98	p8
36	right	74	80	98	p8
37	right	75	80	98	p8
38	right	76	80	98	p8
43	right	73	630	358	noise
44	right	74	630	358	noise
45	right	75	630	358	noise
46	right	76	630	358	noise
47	right	77	631	358	noise
48	right	78	631	358	noise
49	right	79	631	358	noise
