camera	frame	cX	cY
right	1	629	358
right	2	629	358
right	18	629	357
right	19	629	357
right	20	629	358
right	21	629	358
right	22	163	382
right	22	129	394
right	23	163	382
right	23	129	394
right	24	164	383
right	24	128	394
right	25	164	383
right	25	128	394
right	26	214	365
right	27	214	365
right	28	214	365
left	29	258	23
right	29	127	36
right	29	203	363
left	30	258	23
right	30	127	36
right	30	203	363
left	31	258	23
right	31	127	36
right	31	203	363
left	32	258	23
right	32	127	36
right	32	203	363
left	33	256	23
right	33	126	34
left	34	256	23
right	34	126	34
left	35	256	23
right	35	126	34
left	36	256	23
right	36	126	34
right	37	124	33
right	38	124	33
right	39	124	33
right	40	124	33
left	52	280	44
right	52	141	55
left	53	280	44
right	53	141	55
left	54	280	44
right	54	141	55
left	55	280	44
right	55	141	55
left	56	285	40
right	56	143	51
left	57	285	40
right	57	143	51
left	58	285	40
right	58	143	51
left	59	289	38
right	59	143	51
left	60	289	38
right	60	144	49
left	61	289	38
right	61	144	49
left	62	289	38
right	62	144	49
right	62	628	358
left	71	307	101
right	71	136	109
left	72	307	101
right	72	136	109
left	73	307	101
right	73	136	109
left	74	312	102
right	74	136	110
left	75	312	102
right	75	137	110
left	76	312	102
right	76	137	110
left	77	312	102
right	77	137	110
left	78	318	103
right	78	138	112
left	79	318	103
right	79	138	112
left	80	318	103
right	80	138	112
left	81	318	103
right	81	138	112
right	86	630	358
right	87	630	358
right	88	630	358
left	89	289	204
right	89	630	358
left	90	289	204
right	90	110	206
right	90	630	357
left	91	289	204
right	91	110	206
right	91	630	358
left	92	289	204
right	92	110	206
right	92	630	358
left	93	281	205
right	93	104	207
right	93	630	358
left	94	281	205
right	94	104	207
right	94	630	358
left	95	281	205
right	95	104	207
right	95	630	358
left	96	281	205
right	96	104	207
right	96	630	358
right	105	573	353
right	106	573	353
right	107	573	353
left	108	214	280
right	108	59	276
right	108	570	353
right	108	629	357
left	109	214	280
right	109	59	276
right	109	570	353
right	109	629	357
left	110	214	280
right	110	59	276
right	110	570	353
right	110	629	357
left	111	214	280
right	111	59	276
right	111	570	353
right	111	629	357
left	112	208	278
right	112	55	274
right	112	559	355
right	112	630	358
left	113	208	278
right	113	55	274
right	113	559	355
right	113	630	358
left	114	208	277
right	114	55	274
right	114	559	354
right	114	630	358
left	115	208	277
right	115	55	274
right	115	558	355
right	115	630	358
left	116	511	332
right	116	189	354
right	116	544	357
right	116	176	355
right	116	173	356
right	116	207	371
right	116	216	376
left	117	511	332
right	117	189	354
right	117	544	357
right	117	176	355
right	117	173	356
right	117	207	371
right	117	216	376
left	118	511	332
right	118	189	354
right	118	544	357
right	118	176	355
right	118	173	356
right	118	207	371
right	118	216	376
left	119	502	331
right	119	189	354
right	119	544	357
right	119	176	355
right	119	173	356
right	119	207	371
right	119	216	376
left	120	502	331
right	120	533	354
left	121	502	331
right	121	533	354
left	122	502	331
right	122	533	354
right	123	525	346
right	124	525	346
right	125	525	346
right	126	525	346
left	127	182	331
right	127	45	324
right	127	525	336
right	127	629	358
left	128	182	331
right	128	45	324
right	128	525	336
right	128	629	358
left	129	182	331
right	129	44	324
right	129	524	336
left	130	182	331
right	130	44	324
right	130	524	336
left	131	498	317
left	131	183	331
right	131	45	324
right	131	527	336
right	131	628	357
left	132	498	317
left	132	183	331
right	132	45	324
right	132	527	336
right	132	628	357
left	133	498	317
left	133	183	331
right	133	45	324
right	133	527	336
right	133	628	357
left	134	498	317
left	134	183	331
right	134	45	324
right	134	527	336
right	134	628	357
right	135	527	344
right	136	527	344
right	138	526	352
right	138	629	358
right	139	526	352
right	139	629	358
right	140	527	352
right	140	629	358
right	141	527	352
right	141	629	358
right	142	524	354
right	142	629	358
right	143	524	354
right	143	629	358
right	144	524	354
right	144	629	358
right	145	524	354
right	145	629	358
left	146	188	410
right	146	51	397
left	147	188	410
right	147	51	397
left	148	188	410
right	148	51	397
left	149	188	410
right	149	51	397
right	150	520	351
right	151	520	351
right	152	520	351
right	153	520	351
right	161	628	358
right	162	628	358
right	163	628	358
left	164	170	457
right	164	628	358
left	165	170	457
right	165	48	444
left	166	170	457
right	166	48	444
left	167	170	457
right	167	48	444
right	184	35	459
right	185	35	459
right	186	35	459
right	199	629	358
right	200	629	358
