	camera	frame	cX	cY	pulse
623	left	410	514	368	p11
624	left	411	514	368	p11
625	left	412	514	368	p11
626	left	413	514	368	p11
627	left	414	514	368	p11
628	left	415	514	370	p11
629	left	416	514	370	p11
630	left	417	514	370	p11
631	left	418	514	370	p11
643	left	419	515	371	p11
644	left	420	515	371	p11
645	left	421	515	371	p11
646	left	422	515	371	p11
647	left	423	515	372	p11
648	left	424	515	372	p11
649	left	425	515	372	p11
632	left	426	514	373	p11
633	left	427	514	373	p11
634	left	428	514	373	p11
635	left	429	514	373	p11
636	left	430	514	375	p11
637	left	431	514	375	p11
638	left	432	514	375	p11
639	left	433	514	375	p11
650	left	434	515	377	p11
651	left	435	515	377	p11
652	left	436	515	377	p11
653	left	437	515	377	p11
640	left	438	514	377	p11
641	left	439	514	377	p11
642	left	440	514	377	p11
654	left	359	561	360	p12
655	left	360	561	360	p12
656	left	361	561	360	p12
657	left	362	561	360	p12
658	left	363	563	360	p12
659	left	364	563	360	p12
660	left	365	563	360	p12
661	left	366	563	360	p12
662	left	367	563	360	p12
663	left	368	563	360	p12
664	left	369	563	360	p12
665	left	370	564	361	p12
666	left	371	564	361	p12
667	left	372	564	361	p12
668	left	373	564	361	p12
676	left	374	565	361	p12
677	left	375	565	361	p12
678	left	376	565	361	p12
679	left	377	565	361	p12
680	left	378	565	361	p12
681	left	379	565	361	p12
682	left	380	565	361	p12
683	left	381	565	361	p12
684	left	382	565	361	p12
685	left	383	565	361	p12
686	left	384	565	361	p12
669	left	385	565	360	p12
670	left	386	565	360	p12
671	left	387	565	360	p12
672	left	388	565	360	p12
687	left	389	565	361	p12
688	left	390	565	361	p12
689	left	391	565	361	p12
690	left	392	565	361	p12
673	left	393	565	360	p12
674	left	394	565	360	p12
675	left	395	565	360	p12
691	left	396	566	360	p12
692	left	397	566	360	p12
693	left	398	566	360	p12
694	left	399	566	360	p12
695	left	400	566	360	p12
696	left	401	566	360	p12
697	left	402	566	360	p12
698	left	403	566	360	p12
699	left	404	567	360	p12
700	left	405	567	360	p12
701	left	406	567	360	p12
702	left	407	567	360	p12
703	left	408	568	359	p12
704	left	409	568	359	p12
705	left	410	568	359	p12
706	left	411	568	359	p12
707	left	412	568	359	p12
708	left	413	568	359	p12
709	left	414	568	359	p12
721	left	415	569	359	p12
722	left	416	569	359	p12
723	left	417	569	359	p12
724	left	418	569	359	p12
725	left	419	569	360	p12
726	left	420	569	360	p12
727	left	421	569	360	p12
728	left	422	569	360	p12
733	left	423	570	359	p12
734	left	424	570	359	p12
735	left	425	570	359	p12
748	left	426	571	360	p12
749	left	427	571	360	p12
750	left	428	571	360	p12
751	left	429	571	360	p12
752	left	430	571	361	p12
753	left	431	571	361	p12
754	left	432	571	361	p12
755	left	433	571	361	p12
756	left	434	571	361	p12
757	left	435	571	361	p12
758	left	436	571	361	p12
759	left	437	571	361	p12
760	left	438	571	361	p12
761	left	439	571	361	p12
762	left	440	571	361	p12
740	left	441	570	361	p12
741	left	442	570	361	p12
742	left	443	570	361	p12
743	left	444	570	361	p12
729	left	445	569	360	p12
730	left	446	569	360	p12
731	left	447	569	360	p12
732	left	448	569	360	p12
710	left	449	568	360	p12
711	left	450	568	360	p12
712	left	451	568	360	p12
713	left	452	568	360	p12
714	left	453	569	358	p12
715	left	454	569	358	p12
716	left	455	569	358	p12
717	left	456	569	358	p12
718	left	457	569	358	p12
719	left	458	569	358	p12
720	left	459	569	358	p12
736	left	460	570	359	p12
737	left	461	570	359	p12
738	left	462	570	359	p12
739	left	463	570	359	p12
744	left	464	571	359	p12
745	left	465	571	359	p12
746	left	466	571	359	p12
747	left	467	571	359	p12
763	left	468	572	358	p12
764	left	469	572	358	p12
765	left	470	572	358	p12
766	left	471	572	358	p12
767	left	472	573	360	p12
768	left	473	573	360	p12
769	left	474	573	360	p12
779	left	381	598	380	p13
780	left	382	598	380	p13
781	left	383	598	380	p13
782	left	384	598	380	p13
783	left	385	598	380	p13
784	left	386	598	380	p13
785	left	387	598	380	p13
786	left	388	598	380	p13
770	left	389	597	380	p13
771	left	390	597	380	p13
772	left	391	597	380	p13
773	left	392	597	380	p13
774	left	393	598	379	p13
775	left	394	598	379	p13
776	left	395	598	379	p13
777	left	396	598	379	p13
778	left	397	598	379	p13
787	left	1305	363	265	p14
788	left	1306	363	265	p14
789	left	1307	363	265	p14
790	left	1308	363	265	p14
791	left	1317	395	267	p15
792	left	1318	395	267	p15
793	left	1319	395	267	p15
848	left	1328	238	276	p16
849	left	1329	238	276	p16
850	left	1330	238	276	p16
851	left	1331	238	276	p16
856	left	1332	238	277	p16
857	left	1333	238	277	p16
858	left	1334	238	277	p16
859	left	1335	238	277	p16
860	left	1336	238	277	p16
861	left	1337	238	277	p16
862	left	1338	238	277	p16
863	left	1339	238	277	p16
864	left	1340	238	277	p16
865	left	1341	238	277	p16
866	left	1342	238	277	p16
867	left	1343	238	277	p16
868	left	1344	238	277	p16
869	left	1345	238	277	p16
870	left	1346	238	277	p16
871	left	1347	238	277	p16
872	left	1348	238	277	p16
873	left	1349	238	277	p16
874	left	1350	238	277	p16
875	left	1351	238	277	p16
876	left	1352	238	277	p16
877	left	1353	238	277	p16
837	left	1354	237	276	p16
838	left	1355	237	276	p16
839	left	1356	237	276	p16
840	left	1357	237	276	p16
852	left	1358	238	276	p16
853	left	1359	238	276	p16
854	left	1360	238	276	p16
855	left	1361	238	276	p16
841	left	1362	237	276	p16
842	left	1363	237	276	p16
843	left	1364	237	276	p16
811	left	1365	237	275	p16
812	left	1366	237	275	p16
813	left	1367	237	275	p16
814	left	1368	237	275	p16
815	left	1369	237	275	p16
816	left	1370	237	275	p16
817	left	1371	237	275	p16
818	left	1372	237	275	p16
844	left	1373	237	276	p16
845	left	1374	237	276	p16
846	left	1375	237	276	p16
847	left	1376	237	276	p16
819	left	1377	237	275	p16
820	left	1378	237	275	p16
821	left	1379	237	275	p16
822	left	1380	237	275	p16
823	left	1381	237	275	p16
824	left	1382	237	275	p16
825	left	1383	237	275	p16
826	left	1384	237	275	p16
827	left	1385	237	275	p16
828	left	1386	237	275	p16
829	left	1387	237	275	p16
830	left	1388	237	275	p16
831	left	1389	237	275	p16
832	left	1390	237	275	p16
833	left	1391	237	275	p16
807	left	1392	237	274	p16
808	left	1393	237	274	p16
809	left	1394	237	274	p16
810	left	1395	237	274	p16
834	left	1396	237	275	p16
835	left	1397	237	275	p16
836	left	1398	237	275	p16
803	left	1399	236	275	p16
804	left	1400	236	275	p16
805	left	1401	236	275	p16
806	left	1402	236	275	p16
799	left	1403	236	274	p16
800	left	1404	236	274	p16
801	left	1405	236	274	p16
802	left	1406	236	274	p16
794	left	1407	235	274	p16
795	left	1408	235	274	p16
796	left	1409	235	274	p16
797	left	1410	235	274	p16
798	left	1411	235	274	p16
883	left	1399	284	274	p17
884	left	1400	284	274	p17
885	left	1401	284	274	p17
886	left	1402	284	274	p17
887	left	1403	284	274	p17
888	left	1404	284	274	p17
889	left	1405	284	274	p17
890	left	1406	284	274	p17
878	left	1407	283	274	p17
879	left	1408	283	274	p17
