2,0.000,0.000,0.000,0.007
3,0.000,0.000,0.000,0.007
4,0.000,0.000,0.000,0.000
5,0.000,0.000,0.000,0.000
6,0.000,0.000,0.000,0.000
7,0.000,0.000,0.000,0.007
8,0.000,0.000,0.000,0.000
9,0.000,0.000,0.000,0.000
10,0.000,0.000,0.000,0.000
11,0.000,0.000,0.000,0.000
12,0.000,0.000,0.000,0.000
13,0.000,0.000,0.000,0.000
14,0.000,0.000,0.000,0.000
15,0.000,0.000,0.000,0.000
16,0.000,0.000,0.000,0.000
17,0.000,0.000,0.000,0.000
18,137.441,102.954,83.972,185.964
19,137.765,103.206,84.054,186.073
20,137.678,103.057,84.008,186.020
21,137.758,103.053,84.031,186.045
22,137.512,102.737,83.891,185.921
23,137.850,103.007,83.928,186.042
24,137.681,102.759,83.798,185.951
25,137.777,102.797,83.684,185.976
26,137.496,102.484,83.518,185.857
27,137.559,102.471,83.421,185.868
28,137.208,102.206,83.193,185.720
29,137.218,102.205,83.000,185.691
30,136.846,101.858,82.839,185.540
31,136.700,102.113,82.640,185.466
32,136.658,102.044,82.501,185.432
33,136.840,102.186,82.406,185.429
34,136.475,101.893,82.167,185.277
35,136.873,102.126,82.101,185.359
36,136.795,102.045,81.956,185.321
37,137.086,102.211,81.945,185.422
38,137.081,102.150,81.769,185.389
39,137.392,102.605,81.732,185.498
40,137.298,102.585,81.484,185.433
41,137.490,102.892,81.393,185.479
42,137.302,102.786,81.271,185.384
43,137.516,103.101,81.335,185.474
44,137.349,103.156,81.285,185.433
45,137.640,103.276,81.324,185.477
46,137.686,103.155,81.206,185.397
47,138.148,103.520,81.365,185.551
48,138.421,103.514,81.410,185.562
49,138.825,103.901,81.571,185.713
50,138.840,103.906,81.593,185.727
51,139.504,104.497,81.816,185.977
52,139.698,104.599,81.904,186.048
53,140.318,105.219,82.141,186.311
54,140.418,105.310,82.201,186.364
55,140.656,105.511,82.304,186.460
56,140.538,105.504,82.275,186.427
57,140.954,105.851,82.435,186.615
58,140.886,105.828,82.466,186.625
59,140.979,105.965,82.513,186.676
60,140.677,105.800,82.442,186.576
61,140.765,105.944,82.415,186.630
62,140.547,105.742,82.310,186.555
63,140.526,105.885,82.292,186.562
64,139.988,105.576,82.020,186.364
65,139.861,105.505,81.880,186.292
66,139.537,105.228,81.594,186.123
67,139.393,105.082,81.431,186.022
68,139.004,104.757,81.185,185.842
69,138.967,104.788,81.086,185.800
70,138.483,104.328,80.795,185.542
71,138.460,104.009,80.733,185.452
72,138.239,103.794,80.660,185.366
73,138.635,104.061,80.785,185.493
74,138.607,104.138,80.832,185.497
75,138.811,104.599,80.999,185.609
76,138.820,104.719,81.073,185.636
77,139.319,105.209,81.375,185.853
78,139.583,105.701,81.530,186.003
79,139.942,106.101,81.726,186.183
80,139.952,106.172,81.781,186.217
81,140.629,106.858,82.100,186.507
82,140.852,106.993,82.291,186.612
83,141.383,107.355,82.523,186.808
84,141.369,107.315,82.543,186.806
85,141.919,107.726,82.674,187.006
86,142.053,107.798,82.728,187.059
87,142.380,108.063,82.828,187.196
88,142.045,107.888,82.702,187.099
89,142.333,108.073,82.682,187.165
90,142.088,107.867,82.564,187.078
91,141.611,107.486,82.289,186.842
92,141.265,107.118,82.055,186.682
93,141.145,107.092,81.915,186.638
94,140.626,106.712,81.705,186.470
95,140.548,106.734,81.652,186.465
96,140.268,106.606,81.502,186.365
97,140.149,106.838,81.479,186.356
98,139.876,106.844,81.379,186.222
99,139.990,106.986,81.382,186.253
100,139.800,106.864,81.300,186.180
101,140.092,107.193,81.421,186.315
102,140.040,107.346,81.437,186.319
103,140.478,107.823,81.602,186.476
104,140.469,107.901,81.663,186.481
105,141.109,108.636,82.006,186.760
106,141.477,108.837,82.236,186.912
107,141.837,109.260,82.468,187.097
108,142.171,109.316,82.624,187.268
109,142.700,109.821,82.911,187.507
110,142.896,109.944,83.014,187.567
111,143.403,110.179,83.186,187.710
112,143.361,109.990,83.155,187.665
113,143.823,110.256,83.344,187.825
114,143.863,110.165,83.345,187.830
115,144.074,110.305,83.407,187.897
116,143.846,110.041,83.343,187.814
117,144.112,110.239,83.411,187.916
118,143.988,110.119,83.353,187.841
119,144.025,110.077,83.350,187.835
120,143.697,109.714,83.200,187.694
121,143.745,109.642,83.183,187.669
122,143.705,109.630,83.205,187.653
123,143.859,109.844,83.295,187.716
124,143.627,109.762,83.271,187.646
125,143.812,109.952,83.346,187.698
126,143.784,109.978,83.346,187.707
127,143.818,110.022,83.357,187.710
128,143.681,109.913,83.300,187.643
129,143.613,109.892,83.247,187.613
130,143.751,110.175,83.311,187.701
131,143.601,110.007,83.180,187.616
132,143.729,110.238,83.231,187.697
133,143.508,110.027,83.150,187.620
134,143.706,110.266,83.238,187.704
135,143.467,110.071,83.111,187.618
136,143.826,110.221,83.107,187.704
137,143.649,109.933,82.947,187.610
138,143.910,109.640,82.809,187.613
139,143.709,109.361,82.675,187.529
140,143.833,109.290,82.679,187.552
141,143.596,109.111,82.633,187.467
142,143.555,109.177,82.737,187.503
143,143.179,109.025,82.686,187.402
144,142.886,109.015,82.715,187.339
145,142.470,108.686,82.651,187.191
146,142.345,108.683,82.659,187.174
147,141.985,108.410,82.573,187.036
148,142.135,108.557,82.679,187.086
149,141.800,108.329,82.678,186.991
150,141.960,108.284,82.835,187.059
151,142.226,108.057,83.084,187.132
152,142.539,108.413,83.350,187.273
153,142.562,108.461,83.553,187.304
154,143.328,108.935,83.855,187.583
155,143.739,109.087,84.013,187.695
156,144.086,109.443,84.188,187.835
157,143.860,109.315,84.180,187.766
158,144.131,109.558,84.307,187.893
159,143.986,109.341,84.219,187.835
160,144.132,109.482,84.322,187.930
161,144.044,109.338,84.389,187.910
162,144.339,109.690,84.605,188.074
163,144.330,109.776,84.665,188.088
164,144.612,110.040,84.797,188.192
165,144.326,109.721,84.782,188.106
166,144.602,109.898,84.946,188.233
167,144.645,109.853,85.034,188.254
168,144.578,109.206,85.096,188.226
169,144.538,109.090,85.104,188.206
170,144.974,109.448,85.351,188.377
171,145.056,109.446,85.452,188.414
172,145.438,109.681,85.652,188.547
173,145.250,109.492,85.625,188.482
174,145.582,109.880,85.770,188.618
175,145.244,109.784,85.719,188.554
176,144.957,109.430,85.552,188.436
177,144.150,108.825,85.309,188.178
178,144.032,108.991,85.325,188.178
179,143.675,108.794,85.254,188.079
180,143.663,108.984,85.356,188.117
181,143.432,108.758,85.249,188.018
182,143.506,108.826,85.340,188.058
183,143.309,108.277,85.306,187.959
184,143.553,108.203,85.449,188.007
185,143.386,107.958,85.494,187.936
186,143.777,108.288,85.744,188.088
187,143.882,108.470,85.977,188.153
188,144.253,108.725,86.223,188.272
189,144.402,108.840,86.380,188.324
190,145.094,109.389,86.767,188.591
191,145.338,109.452,86.955,188.671
192,145.385,109.335,86.968,188.692
193,144.997,108.807,86.794,188.526
194,144.253,107.083,86.507,188.183
195,143.324,105.244,86.309,187.794
196,143.406,105.051,86.423,187.788
197,143.149,104.783,86.449,187.717
198,142.797,103.586,86.651,187.550
199,142.791,103.457,86.682,187.533
200,142.886,103.683,86.890,187.601
201,142.711,103.686,86.881,187.546
202,142.777,103.717,86.951,187.570
203,142.483,103.550,86.904,187.497
204,142.370,103.418,86.905,187.467
205,142.036,103.191,86.774,187.360
206,142.250,103.376,86.923,187.446
207,141.983,103.178,86.883,187.366
208,142.019,103.273,86.970,187.412
209,141.704,103.160,86.917,187.349
210,141.847,103.309,86.973,187.414
211,141.838,103.297,87.025,187.405
212,142.076,103.453,87.123,187.464
213,141.924,103.403,87.106,187.427
214,142.259,103.553,87.216,187.517
215,142.099,103.536,87.200,187.491
216,142.383,103.695,87.323,187.577
217,142.323,103.412,87.218,187.492
218,142.805,103.748,87.344,187.626
219,142.936,103.883,87.392,187.675
220,143.259,104.153,87.551,187.786
221,143.111,104.021,87.533,187.734
222,143.725,104.359,87.752,187.931
223,143.932,104.434,87.826,187.998
224,144.273,104.703,87.956,188.109
225,144.051,104.558,87.913,188.040
226,144.282,104.729,88.125,188.149
227,144.250,104.584,88.140,188.130
228,144.059,103.854,88.242,188.062
229,143.998,103.833,88.259,188.043
230,144.511,104.031,88.501,188.199
231,144.374,103.967,88.508,188.175
232,144.681,104.203,88.685,188.278
233,144.559,104.156,88.657,188.215
234,144.794,104.352,88.766,188.319
235,144.130,103.935,88.487,188.116
236,143.563,103.481,88.311,187.934
237,142.335,102.516,87.966,187.578
238,142.145,102.507,87.993,187.535
239,142.124,102.444,88.004,187.529
240,141.833,102.144,87.874,187.407
241,141.484,101.499,87.847,187.265
242,141.413,101.412,87.727,187.228
243,141.367,101.323,87.684,187.214
244,141.166,101.095,87.535,187.103
245,140.993,100.941,87.470,187.043
246,140.411,100.645,87.304,186.871
247,139.838,100.402,87.144,186.698
248,139.284,100.113,87.007,186.531
249,138.762,99.944,86.912,186.375
250,138.332,99.847,86.839,186.259
251,137.879,99.655,86.702,186.110
252,137.761,99.721,86.679,186.101
253,137.469,99.556,86.608,185.989
254,137.207,99.590,86.650,185.957
255,136.744,99.248,86.584,185.796
256,136.773,99.326,86.657,185.818
257,136.471,99.133,86.690,185.729
258,136.199,99.063,86.731,185.671
259,136.038,98.887,86.648,185.602
260,136.247,98.971,86.729,185.665
261,136.023,98.839,86.692,185.605
262,136.216,98.917,86.776,185.661
263,136.038,98.761,86.676,185.587
264,136.457,98.918,86.754,185.691
265,136.376,98.849,86.725,185.651
266,136.610,98.984,86.845,185.749
267,136.611,98.953,86.825,185.723
268,136.968,99.183,86.915,185.830
269,136.820,99.156,86.823,185.778
270,136.802,99.255,86.832,185.785
271,136.385,99.058,86.735,185.660
272,136.379,99.091,86.705,185.646
273,135.977,98.886,86.584,185.525
274,135.906,98.960,86.622,185.515
275,135.426,98.785,86.508,185.358
276,135.413,98.804,86.577,185.382
277,135.183,98.736,86.566,185.303
278,135.211,98.869,86.655,185.316
279,134.983,98.770,86.610,185.225
280,135.151,98.936,86.797,185.305
281,134.988,98.919,86.837,185.252
282,135.084,99.029,87.006,185.288
283,135.029,99.013,87.051,185.246
284,135.164,99.174,87.164,185.333
285,134.993,99.147,87.099,185.268
286,135.057,99.266,87.169,185.314
287,134.998,99.293,87.182,185.315
288,134.562,99.391,87.266,185.289
289,134.533,99.253,87.265,185.271
290,134.809,99.436,87.423,185.379
291,134.851,99.451,87.503,185.394
292,135.318,99.766,87.762,185.585
293,135.261,99.784,87.862,185.582
294,135.663,100.039,88.014,185.721
295,135.384,99.941,87.982,185.647
296,135.683,100.050,88.049,185.731
297,135.504,100.011,88.051,185.676
298,135.601,100.098,88.095,185.714
299,135.307,100.035,88.071,185.645
300,135.542,100.294,88.218,185.760
301,135.406,100.214,88.211,185.720
302,135.583,100.354,88.269,185.792
303,135.176,100.201,88.186,185.680
304,135.159,100.306,88.253,185.704
305,134.778,100.161,88.191,185.602
306,134.732,100.263,88.270,185.610
307,133.986,99.936,88.136,185.391
308,133.935,99.966,88.133,185.374
309,133.635,99.902,88.121,185.286
310,133.816,100.110,88.222,185.348
311,133.581,100.013,88.213,185.274
312,133.649,100.188,88.340,185.332
313,133.258,100.192,88.399,185.269
314,133.471,100.385,88.558,185.367
315,133.420,100.445,88.734,185.391
316,133.700,100.857,89.014,185.559
317,134.272,101.233,89.387,185.820
318,134.870,101.577,89.609,186.065
319,135.277,101.863,89.794,186.198
320,136.088,102.354,90.123,186.433
321,136.938,102.888,90.463,186.757
322,137.187,103.117,90.601,186.869
323,137.971,103.688,90.995,187.168
324,138.424,103.972,91.206,187.331
325,139.196,104.543,91.547,187.652
326,139.769,104.875,91.796,187.849
327,139.976,105.130,91.949,187.952
