	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
0	left	p1	1	89	539	540	540	161	162	162	sp0
0	right	p10	1	89	429	429	429	160	161	161	sp0
1	left	p2	1	89	542	543	543	196	196	196	sp1
1	right	p11	1	89	431	432	431	194	195	194	sp1
2	left	p3	1	89	545	546	546	229	230	230	sp2
2	right	p12	1	89	434	435	434	227	228	228	sp2
3	left	p4	1	89	547	548	548	264	264	264	sp3
3	right	p13	1	89	436	436	436	260	261	260	sp3
4	left	p5	1	87	607	608	608	155	156	155	sp4
4	right	p14	1	89	494	495	494	154	155	155	sp4
5	left	p6	1	89	611	613	612	189	190	189	sp5
5	right	p15	1	89	497	498	497	187	188	188	sp5
6	left	p7	1	89	615	616	616	223	224	224	sp6
6	right	p16	1	89	500	501	501	221	221	221	sp6
7	left	p8	1	89	619	620	619	258	258	258	sp7
7	right	p17	34	82	503	504	503	255	255	255	sp7
