	camera	frame	cX	cY	pulse
5174	right	670	290	138	p100
5175	right	671	290	138	p100
5176	right	672	290	138	p100
5177	right	673	290	138	p100
5178	right	674	290	138	p100
5511	right	675	290	139	p100
5512	right	676	290	139	p100
5513	right	677	290	139	p100
5514	right	678	290	139	p100
5515	right	679	290	139	p100
5516	right	680	290	139	p100
5517	right	681	290	139	p100
5518	right	682	290	139	p100
5519	right	683	290	139	p100
5520	right	684	290	139	p100
5521	right	685	290	139	p100
5522	right	686	290	139	p100
5523	right	687	290	139	p100
5524	right	688	290	139	p100
5525	right	689	290	139	p100
5526	right	690	290	139	p100
5527	right	691	290	139	p100
5528	right	692	290	139	p100
5529	right	693	290	139	p100
5179	right	694	290	138	p100
5180	right	695	290	138	p100
5181	right	696	290	138	p100
5182	right	697	290	138	p100
5183	right	698	290	138	p100
5184	right	699	290	138	p100
5185	right	700	290	138	p100
5530	right	701	290	139	p100
5531	right	702	290	139	p100
5532	right	703	290	139	p100
5533	right	704	290	139	p100
5186	right	705	290	138	p100
5187	right	706	290	138	p100
5188	right	707	290	138	p100
5189	right	708	290	138	p100
5190	right	709	290	138	p100
5191	right	710	290	138	p100
5192	right	711	290	138	p100
5534	right	712	290	139	p100
5535	right	713	290	139	p100
5536	right	714	290	139	p100
5537	right	715	290	139	p100
5538	right	716	290	139	p100
5539	right	717	290	139	p100
5540	right	718	290	139	p100
5541	right	719	290	139	p100
5542	right	720	290	139	p100
5543	right	721	290	139	p100
5544	right	722	290	139	p100
5545	right	723	290	139	p100
5546	right	724	290	139	p100
5547	right	725	290	139	p100
5548	right	726	290	139	p100
5549	right	727	290	139	p100
5550	right	728	290	139	p100
5551	right	729	290	139	p100
5552	right	730	290	139	p100
5553	right	731	290	139	p100
5554	right	732	290	139	p100
5555	right	733	290	139	p100
5556	right	734	290	139	p100
5193	right	735	290	138	p100
5194	right	736	290	138	p100
5195	right	737	290	138	p100
5196	right	738	290	138	p100
5197	right	739	290	138	p100
5198	right	740	290	138	p100
5199	right	741	290	138	p100
5200	right	742	290	138	p100
5201	right	743	290	138	p100
5202	right	744	290	138	p100
5203	right	745	290	138	p100
5557	right	746	290	139	p100
5558	right	747	290	139	p100
5559	right	748	290	139	p100
5560	right	749	290	139	p100
5561	right	750	290	139	p100
5562	right	751	290	139	p100
5563	right	752	290	139	p100
5204	right	753	290	138	p100
5205	right	754	290	138	p100
5206	right	755	290	138	p100
5207	right	756	290	138	p100
5564	right	757	290	139	p100
5565	right	758	290	139	p100
5566	right	759	290	139	p100
5567	right	760	290	139	p100
5568	right	761	290	139	p100
5569	right	762	290	139	p100
5570	right	763	290	139	p100
5571	right	764	290	139	p100
5572	right	765	290	139	p100
5573	right	766	290	139	p100
5574	right	767	290	139	p100
5575	right	768	290	139	p100
5208	right	769	290	138	p100
5576	right	770	290	139	p100
5577	right	771	290	139	p100
5578	right	772	290	139	p100
5579	right	773	290	139	p100
5580	right	774	290	139	p100
5581	right	775	290	139	p100
5209	right	776	290	138	p100
5210	right	777	290	138	p100
5211	right	778	290	138	p100
5212	right	779	290	138	p100
5213	right	780	290	138	p100
5214	right	781	290	138	p100
5215	right	782	290	138	p100
5216	right	783	290	138	p100
5582	right	784	290	139	p100
5583	right	785	290	139	p100
5584	right	786	290	139	p100
5585	right	787	290	139	p100
5586	right	788	290	139	p100
5587	right	789	290	139	p100
5588	right	790	290	139	p100
5589	right	791	290	139	p100
5590	right	792	290	139	p100
5591	right	793	290	139	p100
5592	right	794	290	139	p100
5593	right	795	290	139	p100
5594	right	796	290	139	p100
5595	right	797	290	139	p100
5596	right	798	290	139	p100
5217	right	799	290	138	p100
5218	right	800	290	138	p100
5219	right	801	290	138	p100
5220	right	802	290	138	p100
5221	right	803	290	138	p100
5222	right	804	290	138	p100
5223	right	805	290	138	p100
5224	right	806	290	138	p100
5225	right	807	290	138	p100
5226	right	808	290	138	p100
5227	right	809	290	138	p100
5228	right	810	290	138	p100
5229	right	811	290	138	p100
5230	right	812	290	138	p100
5231	right	813	290	138	p100
5597	right	814	290	139	p100
5598	right	815	290	139	p100
5599	right	816	290	139	p100
5600	right	817	290	139	p100
5601	right	818	290	139	p100
5602	right	819	290	139	p100
5603	right	820	290	139	p100
5232	right	821	290	138	p100
5233	right	822	290	138	p100
5234	right	823	290	138	p100
5235	right	824	290	138	p100
5604	right	825	290	139	p100
5605	right	826	290	139	p100
5606	right	827	290	139	p100
5607	right	828	290	139	p100
5608	right	829	290	139	p100
5609	right	830	290	139	p100
5610	right	831	290	139	p100
5984	right	832	291	138	p100
5985	right	833	291	138	p100
5986	right	834	291	138	p100
5987	right	835	291	138	p100
5236	right	836	290	138	p100
5237	right	837	290	138	p100
5238	right	838	290	138	p100
5239	right	839	290	138	p100
