	camera	frame	cX	cY	pulse
19	left	1	540	162	p1
20	left	2	540	162	p1
21	left	3	540	162	p1
22	left	4	540	162	p1
23	left	5	540	162	p1
0	left	6	539	162	p1
1	left	7	539	162	p1
2	left	8	539	162	p1
3	left	9	539	162	p1
24	left	10	540	162	p1
25	left	11	540	162	p1
26	left	12	540	162	p1
27	left	13	540	162	p1
28	left	14	540	162	p1
29	left	15	540	162	p1
30	left	16	540	162	p1
31	left	17	540	162	p1
32	left	18	540	162	p1
33	left	19	540	162	p1
34	left	20	540	162	p1
35	left	21	540	162	p1
4	left	22	539	162	p1
5	left	23	539	162	p1
6	left	24	539	162	p1
7	left	25	539	162	p1
36	left	26	540	162	p1
37	left	27	540	162	p1
38	left	28	540	162	p1
39	left	29	540	162	p1
8	left	30	539	162	p1
9	left	31	539	162	p1
10	left	32	539	162	p1
11	left	33	539	162	p1
40	left	34	540	162	p1
41	left	35	540	162	p1
42	left	36	540	162	p1
43	left	37	540	162	p1
44	left	38	540	162	p1
45	left	39	540	162	p1
46	left	40	540	162	p1
47	left	41	540	162	p1
48	left	42	540	162	p1
49	left	43	540	162	p1
50	left	44	540	162	p1
51	left	45	540	162	p1
52	left	46	540	162	p1
53	left	47	540	162	p1
54	left	48	540	162	p1
55	left	49	540	162	p1
56	left	50	540	162	p1
57	left	51	540	162	p1
58	left	52	540	162	p1
59	left	53	540	162	p1
16	left	54	540	161	p1
17	left	55	540	161	p1
18	left	56	540	161	p1
12	left	57	539	162	p1
13	left	58	539	162	p1
14	left	59	539	162	p1
15	left	60	539	162	p1
60	left	61	540	162	p1
61	left	62	540	162	p1
62	left	63	540	162	p1
63	left	64	540	162	p1
64	left	65	540	162	p1
65	left	66	540	162	p1
66	left	67	540	162	p1
67	left	68	540	162	p1
68	left	69	540	162	p1
69	left	70	540	162	p1
70	left	71	540	162	p1
71	left	72	540	162	p1
72	left	73	540	162	p1
73	left	74	540	162	p1
74	left	75	540	162	p1
75	left	76	540	162	p1
76	left	77	540	162	p1
77	left	78	540	162	p1
78	left	79	540	162	p1
79	left	80	540	162	p1
80	left	81	540	162	p1
81	left	82	540	162	p1
82	left	83	540	162	p1
83	left	84	540	162	p1
84	left	85	540	162	p1
85	left	86	540	162	p1
86	left	87	540	162	p1
87	left	88	540	162	p1
88	left	89	540	162	p1
803	right	1	429	161	p10
764	right	2	429	160	p10
765	right	3	429	160	p10
766	right	4	429	160	p10
767	right	5	429	160	p10
768	right	6	429	160	p10
769	right	7	429	160	p10
770	right	8	429	160	p10
771	right	9	429	160	p10
772	right	10	429	160	p10
773	right	11	429	160	p10
804	right	12	429	161	p10
805	right	13	429	161	p10
806	right	14	429	161	p10
807	right	15	429	161	p10
774	right	16	429	160	p10
775	right	17	429	160	p10
776	right	18	429	160	p10
808	right	19	429	161	p10
809	right	20	429	161	p10
810	right	21	429	161	p10
811	right	22	429	161	p10
812	right	23	429	161	p10
813	right	24	429	161	p10
814	right	25	429	161	p10
815	right	26	429	161	p10
816	right	27	429	161	p10
817	right	28	429	161	p10
818	right	29	429	161	p10
819	right	30	429	161	p10
820	right	31	429	161	p10
821	right	32	429	161	p10
822	right	33	429	161	p10
777	right	34	429	160	p10
778	right	35	429	160	p10
779	right	36	429	160	p10
780	right	37	429	160	p10
823	right	38	429	161	p10
824	right	39	429	161	p10
825	right	40	429	161	p10
826	right	41	429	161	p10
781	right	42	429	160	p10
782	right	43	429	160	p10
783	right	44	429	160	p10
784	right	45	429	160	p10
785	right	46	429	160	p10
786	right	47	429	160	p10
