species	name	obspulse	pname	duration	start	end	d2cam	lrd	height	maxI	meanI	meanArea	disparity	II	idh	idv
Photeros_annecohenae	pan1	1	p3	0.23333333333333334	48	55	682.472	263.587	29.891	175.0	151.08	7.75				
Photeros_annecohenae	pan1	2	sp0	0.27	67	75	627.874	247.5	85.0	189.0	154.9696126837832	22.625	100	0.4	56.91865399849152	55.109
Photeros_annecohenae	pan1	3	sp2	0.27	86	94	705.477	244.382	151.685	195.0	149.7632653061225	11.392857142857142	89	0.36666666666666664	77.66561358155869	66.685
Photeros_annecohenae	pan1	4	sp3	0.27	101	109	697.638	225.0	195.833	191.0	154.19081632653058	12.357142857142858	90	0.23333333333333334	20.90721992518372	44.147999999999996
Photeros_annecohenae	pan1	5	sp4	0.13	120	124	697.638	195.833	252.778	186.0	153.80206896551724	18.25	90	0.36666666666666664	29.167	56.94499999999999
Photeros_annecohenae	pan1	6	sp5	0.13	135	139	682.472	146.739	305.707	183.0	152.22376543209876	17.25	92	0.36666666666666664	51.3831528032292	52.929
Photeros_annecohenae	pan1	7	p16	0.06666666666666667	152	154	682.472	107.337	349.185	179.0	151.8	8.0		0.43333333333333335	39.402	43.47800000000001
Photeros_annecohenae	pan1	8	p17	0.2	167	173	682.472	66.576	383.152	157.43	141.9	3.14		0.43333333333333335	40.76100000000001	33.966999999999985
Photeros_annecohenae	pan1	9	p18	0.06666666666666667	182	184	682.472	25.815	430.707	143.0	135.6	1.5		0.3	40.760999999999996	47.55500000000001
Photeros_annecohenae	pan2	1	sp0	0.3	161	170	660.92	315.789	65.789	191.0	154.93983893611505	25.5	95			
Photeros_annecohenae	pan2	2	sp1	0.17	180	185	697.638	305.556	126.389	182.0	155.52469758064515	22.75	90	0.3333333333333333	38.117263975789314	60.599999999999994
Photeros_annecohenae	pan2	3	sp2	0.3	195	204	689.972	296.703	182.692	186.0	155.7562037037037	16.875	91	0.3333333333333333	11.71081401952917	56.30300000000001
Photeros_annecohenae	pan2	4	sp3	0.17	214	219	689.972	281.594	252.747	184.0	153.87905092592592	20.5	91	0.3333333333333333	15.10899999999998	70.055
Photeros_annecohenae	pan2	5	sp4	0.17	229	234	721.695	272.989	336.207	182.0	154.68566176470588	15.75	87	0.3333333333333333	32.8693588924397	83.45999999999998
Photeros_annecohenae	pan2	6	sp5	0.17	244	249	775.153	243.827	422.839	179.0	152.325	7.5	81	0.3333333333333333	60.89482743222117	86.632
Photeros_annecohenae	pan2	7	sp6	0.17	259	264	815.421	215.909	491.883	175.0	145.17013888888889	10.0	77	0.3333333333333333	48.99925048406356	69.04399999999998
Photeros_annecohenae	pan2	8	p10	0.1	274	277	860.102	169.521	566.781	149.0	138.6	1.5		0.3333333333333333	64.40681877720708	74.89799999999997
Photeros_annecohenae	pan3	1	sp0	0.3	18	27	475.662	248.106	69.129	185.0	156.86383572567783	46.625	132			
Photeros_annecohenae	pan3	2	sp1	0.3	37	46	523.229	226.042	137.5	190.0	156.85882034632033	30.75	120	0.3333333333333333	52.43509878888382	68.371
Photeros_annecohenae	pan3	3	sp2	0.3	52	61	550.767	206.14	194.079	190.0	155.10875603864736	21.8125	114	0.2	33.97691934240068	56.57900000000001
