	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
0	left	p1	1	35	396	397	397	140	140	140	sp0
188	right	p83	161	183	289	290	290	138	139	139	sp0
1	left	p113	238	376	197	200	198	295	296	296	sp1
189	right	p84	225	359	9	10	9	302	303	302	sp1
10	left	p200	658	792	277	278	278	283	284	284	sp10
203	right	p97	645	779	170	171	171	282	283	283	sp10
200	right	p94	1084	1086	50	50	50	48	48	48	sp11
11	left	p201	1112	1253	289	290	289	191	191	191	sp11
204	right	p98	1106	1229	213	213	213	277	278	278	sp12
12	left	p202	1119	1246	291	292	292	281	281	281	sp12
202	right	p96	859	1416	152	153	153	147	148	147	sp13
13	left	p203	868	2360	329	331	330	145	146	145	sp13
84	right	p181	2168	2171	259	259	259	273	273	273	sp14
14	left	p204	2144	2259	337	338	338	277	278	278	sp14
1	right	p100	480	1424	289	291	290	138	139	139	sp15
15	left	p205	482	2356	396	397	397	140	140	140	sp15
16	left	p215	2372	2375	194	194	194	156	156	156	sp16
107	right	p210	2369	2373	81	81	81	153	153	153	sp16
17	left	p235	2376	2383	262	262	262	150	150	150	sp17
105	right	p209	2366	2368	153	153	153	147	147	147	sp17
18	left	p254	2384	2386	193	193	193	156	156	156	sp18
103	right	p206	2348	2362	81	81	81	152	153	153	sp18
19	left	p255	2384	2394	262	262	262	150	151	150	sp19
104	right	p207	2355	2365	152	153	153	147	148	148	sp19
194	right	p89	390	397	222	222	222	143	143	143	sp2
2	left	p114	238	399	396	397	397	140	140	140	sp2
100	right	p196	2295	2343	222	223	223	143	143	143	sp20
20	left	p3	2395	2405	262	262	262	150	150	150	sp20
21	left	p30	2410	2420	262	262	262	150	151	150	sp21
109	right	p212	2419	2422	153	153	153	147	147	147	sp21
110	right	p213	2423	2444	81	81	81	152	153	153	sp22
22	left	p34	2421	2439	193	194	193	156	156	156	sp22
111	right	p214	2438	2441	152	152	152	147	147	147	sp23
23	left	p35	2421	2439	262	262	262	150	150	150	sp23
112	right	p216	2449	2474	80	81	81	152	153	153	sp24
24	left	p36	2444	2450	193	194	193	156	156	156	sp24
113	right	p217	2449	2478	152	153	152	147	148	147	sp25
25	left	p37	2447	2454	262	262	262	150	151	150	sp25
26	left	p38	2455	2491	193	194	193	155	156	155	sp26
114	right	p218	2479	2508	81	82	81	152	153	152	sp26
115	right	p219	2479	2504	152	153	153	147	147	147	sp27
27	left	p39	2455	2495	262	262	262	149	150	150	sp27
28	left	p40	2496	2510	193	194	193	156	156	156	sp28
118	right	p221	2513	2519	81	81	81	153	153	153	sp28
29	left	p41	2496	2514	262	262	262	149	150	150	sp29
117	right	p220	2510	2512	153	153	153	147	147	147	sp29
196	right	p90	401	475	81	82	81	152	153	152	sp3
3	left	p154	400	470	193	194	193	155	156	156	sp3
30	left	p42	2515	2529	193	194	194	155	156	156	sp30
119	right	p222	2513	2527	152	153	153	147	147	147	sp30
120	right	p223	2528	2531	81	81	81	152	152	152	sp31
31	left	p43	2515	2533	262	262	262	149	150	150	sp31
32	left	p44	2534	2544	193	194	193	155	156	156	sp32
121	right	p224	2535	2538	153	153	153	147	147	147	sp32
33	left	p45	2534	2551	262	262	262	149	150	150	sp33
122	right	p225	2539	2557	81	81	81	152	153	152	sp33
34	left	p46	2552	2563	193	194	194	156	156	156	sp34
128	right	p230	2584	2587	209	209	209	187	187	187	sp34
35	left	p47	2552	2566	262	262	262	150	150	150	sp35
123	right	p226	2543	2561	153	153	153	147	147	147	sp35
125	right	p228	2569	2714	81	82	81	152	153	153	sp36
36	left	p48	2567	2754	193	194	194	155	156	156	sp36
37	left	p49	2567	2762	262	263	262	150	150	150	sp37
126	right	p229	2565	2714	153	153	153	147	147	147	sp37
129	right	p231	2573	2711	222	223	223	142	143	143	sp38
38	left	p50	2586	2728	330	330	330	145	146	145	sp38
130	right	p232	2565	2658	224	224	224	278	278	278	sp39
39	left	p51	2571	2668	330	330	330	280	281	280	sp39
4	left	p155	403	474	262	262	262	150	151	150	sp4
199	right	p93	409	479	289	290	290	138	139	139	sp4
132	right	p234	2723	2726	81	81	81	153	153	153	sp40
40	left	p52	2639	2660	331	331	331	145	145	145	sp40
41	left	p53	2582	2683	331	331	331	280	281	281	sp41
124	right	p227	2558	2564	224	224	224	278	278	278	sp41
131	right	p233	2577	2718	290	291	290	138	138	138	sp42
42	left	p54	2590	2728	397	398	398	139	140	139	sp42
187	right	p82	161	224	222	223	222	143	144	143	sp43
43	left	p55	36	42	193	193	193	156	156	156	sp43
190	right	p85	266	269	51	51	51	48	48	48	sp44
44	left	p56	36	46	397	397	397	140	140	140	sp44
45	left	p57	2763	2769	194	194	194	156	156	156	sp45
140	right	p242	2761	2775	81	82	81	152	153	153	sp45
141	right	p243	2761	2790	290	291	290	137	138	138	sp46
46	left	p58	2763	2773	262	262	262	150	150	150	sp46
142	right	p244	2791	2808	81	82	81	152	153	152	sp47
47	left	p59	2774	2810	193	194	194	156	156	156	sp47
48	left	p60	2774	2814	262	263	262	149	150	150	sp48
144	right	p246	2813	2816	81	81	81	152	152	152	sp48
49	left	p61	2815	2840	194	194	194	156	156	156	sp49
146	right	p248	2821	2835	81	82	81	152	153	153	sp49
5	left	p156	400	421	329	330	329	145	145	145	sp5
193	right	p88	394	397	153	153	153	147	147	147	sp5
50	left	p62	2815	2844	262	262	262	150	150	150	sp50
145	right	p247	2817	2820	291	291	291	138	138	138	sp50
51	left	p63	2845	2848	194	194	194	155	155	155	sp51
149	right	p250	2839	2842	82	82	82	153	153	153	sp51
152	right	p253	2851	2853	290	290	290	137	137	137	sp52
52	left	p64	2845	2859	262	262	262	150	150	150	sp52
53	left	p65	2860	2867	194	194	194	156	156	156	sp53
151	right	p252	2851	2857	81	81	81	153	153	153	sp53
153	right	p256	2858	2868	290	290	290	138	138	138	sp54
54	left	p66	2864	2870	262	262	262	150	150	150	sp54
154	right	p257	2869	2880	81	82	81	153	153	153	sp55
55	left	p67	2871	2882	194	194	194	156	156	156	sp55
56	left	p68	2871	2885	262	263	262	149	150	150	sp56
156	right	p259	2873	2883	290	290	290	137	138	138	sp56
161	right	p263	2899	2906	81	81	81	152	152	152	sp57
57	left	p69	2886	2923	193	194	194	155	156	156	sp57
58	left	p70	2886	2927	262	262	262	150	150	150	sp58
164	right	p266	2911	2928	290	290	290	137	138	138	sp58
59	left	p71	2928	2934	194	194	194	156	156	156	sp59
163	right	p265	2911	2925	81	82	81	151	153	153	sp59
198	right	p92	401	404	222	222	222	143	143	143	sp6
6	left	p157	400	421	397	397	397	140	140	140	sp6
60	left	p72	2928	2945	262	262	262	150	150	150	sp60
165	right	p267	2929	2947	81	81	81	152	153	153	sp60
61	left	p73	2946	3035	193	194	194	155	156	156	sp61
169	right	p270	2959	3003	81	82	81	152	153	153	sp61
171	right	p272	2959	3000	290	290	290	138	138	138	sp62
62	left	p74	2946	3035	262	263	262	149	150	150	sp62
170	right	p271	2959	3011	124	125	124	293	293	293	sp63
63	left	p75	2954	3039	313	314	313	288	289	288	sp63
