pname	lname	rname	start	end	duration	disparity	d2cam	lrd	height
sp0	p1	p10	1	80	2.63	114	1292.32	148.29	210.614
sp1	p2	p11	1	80	2.63	114	1292.32	151.513	247.149
sp2	p3	p12	1	80	2.63	113	1303.756	156.106	285.111
sp3	p4	p13	1	80	2.63	112	1315.397	158.594	323.75
sp4	p5	p14	5	80	2.5	110	1339.313	227.182	211.591
sp5	p6	p15	1	80	2.63	110	1339.313	230.523	248.341
sp6	p7	p16	1	80	2.63	109	1351.6	236.009	287.706
sp7	p8	p17	1	80	2.63	109	1351.6	240.505	325.917
