	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
0	left	p6	1	90	344	345	344	165	166	166	sp0
3	right	p20	1	90	276	277	277	165	165	165	sp0
1	left	p7	1	90	351	352	352	147	148	147	sp1
2	right	p19	1	90	271	272	271	147	147	147	sp1
2	left	p8	1	90	363	364	363	119	120	119	sp2
1	right	p18	1	90	262	263	263	119	120	119	sp2
3	left	p9	1	90	382	383	382	73	74	74	sp3
0	right	p17	1	90	249	249	249	74	75	75	sp3
0	left	p10	1	90	499	501	500	142	143	142	sp0
3	right	p23	1	90	416	417	417	141	141	141	sp0
1	left	p13	5	89	551	552	552	110	111	111	sp1
4	right	p24	1	90	445	446	445	109	109	109	sp1
2	left	p7	9	74	424	425	424	188	189	189	sp2
1	right	p21	6	73	384	385	385	176	177	177	sp2
3	left	p8	1	90	441	442	442	178	178	178	sp3
0	right	p20	3	88	367	375	375	187	196	187	sp3
4	left	p9	5	90	465	467	466	163	163	163	sp4
2	right	p22	1	90	397	398	398	161	162	162	sp4
