camera	frame	cX	cY
left	1	451	75
left	1	319	86
left	1	457	142
left	1	323	153
left	1	464	209
left	1	328	221
left	1	469	278
left	1	332	288
left	1	634	441
right	1	260	79
right	1	125	88
right	1	266	147
right	1	131	157
right	1	272	214
right	1	137	226
right	1	278	281
right	1	141	293
right	1	567	427
left	2	451	75
left	2	319	86
left	2	457	142
left	2	323	153
left	2	463	209
left	2	328	221
left	2	469	278
left	2	332	287
left	2	634	440
right	2	260	80
right	2	125	88
right	2	266	147
right	2	131	157
right	2	272	214
right	2	137	226
right	2	278	282
right	2	141	292
right	2	567	427
left	3	451	75
left	3	319	86
left	3	457	142
left	3	323	153
left	3	463	209
left	3	328	221
left	3	469	278
left	3	332	287
left	3	634	440
right	3	260	80
right	3	125	88
right	3	266	147
right	3	131	157
right	3	272	214
right	3	137	226
right	3	278	282
right	3	141	292
right	3	567	427
left	4	451	75
left	4	319	86
left	4	457	142
left	4	324	153
left	4	464	209
left	4	328	221
left	4	469	278
left	4	331	287
left	4	634	441
right	4	259	80
right	4	125	88
right	4	266	148
right	4	131	157
right	4	272	214
right	4	137	226
right	4	278	281
right	4	141	292
right	4	567	427
left	5	451	75
left	5	319	86
left	5	457	142
left	5	324	153
left	5	464	209
left	5	328	221
left	5	469	278
left	5	331	287
left	5	634	441
right	5	259	80
right	5	125	88
right	5	266	148
right	5	131	157
right	5	272	214
right	5	137	226
right	5	278	281
right	5	141	292
right	5	567	427
left	6	451	75
left	6	319	86
left	6	457	142
left	6	324	153
left	6	464	209
left	6	328	221
left	6	469	278
left	6	331	287
left	6	634	441
right	6	259	80
right	6	125	88
right	6	266	148
right	6	131	157
right	6	272	214
right	6	137	226
right	6	278	281
right	6	141	292
right	6	567	427
left	7	451	75
left	7	319	86
left	7	457	142
left	7	324	153
left	7	464	209
left	7	328	221
left	7	469	278
left	7	331	287
left	7	634	441
right	7	259	79
right	7	125	88
right	7	266	148
right	7	131	157
right	7	272	214
right	7	137	226
right	7	278	281
right	7	141	293
right	7	567	427
left	8	451	75
left	8	319	86
left	8	457	142
left	8	323	153
left	8	463	209
left	8	328	221
left	8	469	278
left	8	332	288
left	8	634	440
right	8	259	79
right	8	125	88
right	8	266	148
right	8	131	157
right	8	272	214
right	8	137	226
right	8	278	281
right	8	141	293
right	8	567	427
left	9	451	75
left	9	319	86
left	9	457	142
left	9	323	153
left	9	463	209
left	9	328	221
left	9	469	278
left	9	332	288
left	9	634	440
right	9	259	79
right	9	125	88
right	9	266	148
right	9	131	157
right	9	272	214
right	9	137	226
right	9	278	281
right	9	141	293
right	9	567	427
left	10	451	75
left	10	319	86
left	10	457	142
left	10	323	153
left	10	463	209
left	10	328	221
left	10	469	278
left	10	332	288
left	10	634	440
right	10	259	79
right	10	125	88
right	10	266	148
right	10	131	157
right	10	272	214
right	10	137	226
right	10	278	281
