	camera	frame	cX	cY	pulse
0	left	1	335	179	p1
1	left	2	335	179	p1
2	left	3	335	179	p1
3	left	4	335	179	p1
4	left	5	335	179	p1
5	left	6	335	179	p1
6	left	7	335	179	p1
7	left	8	335	179	p1
8	left	9	335	179	p1
9	left	10	335	179	p1
10	left	11	335	179	p1
11	left	12	335	179	p1
12	left	13	335	179	p1
13	left	14	335	179	p1
14	left	15	335	179	p1
15	left	16	335	179	p1
16	left	17	335	179	p1
17	left	18	335	179	p1
18	left	19	335	179	p1
19	left	20	335	179	p1
20	left	21	335	179	p1
21	left	22	335	179	p1
22	left	23	335	179	p1
23	left	24	335	179	p1
24	left	25	335	179	p1
25	left	26	335	179	p1
26	left	27	335	179	p1
84	left	28	336	179	p1
85	left	29	336	179	p1
86	left	30	336	179	p1
87	left	31	336	179	p1
27	left	32	335	179	p1
28	left	33	335	179	p1
29	left	34	335	179	p1
30	left	35	335	179	p1
31	left	36	335	179	p1
32	left	37	335	179	p1
33	left	38	335	179	p1
34	left	39	335	179	p1
35	left	40	335	179	p1
36	left	41	335	179	p1
37	left	42	335	179	p1
38	left	43	335	179	p1
39	left	44	335	179	p1
40	left	45	335	179	p1
41	left	46	335	179	p1
42	left	47	335	179	p1
43	left	48	335	179	p1
44	left	49	335	179	p1
45	left	50	335	179	p1
46	left	51	335	179	p1
47	left	52	335	179	p1
48	left	53	335	179	p1
49	left	54	335	179	p1
50	left	55	335	179	p1
51	left	56	335	179	p1
52	left	57	335	179	p1
53	left	58	335	179	p1
54	left	59	335	179	p1
55	left	60	335	179	p1
56	left	61	335	179	p1
57	left	62	335	179	p1
58	left	63	335	179	p1
59	left	64	335	179	p1
60	left	65	335	179	p1
61	left	66	335	179	p1
62	left	67	335	179	p1
63	left	68	335	179	p1
64	left	69	335	179	p1
65	left	70	335	179	p1
66	left	71	335	179	p1
67	left	72	335	179	p1
68	left	73	335	179	p1
69	left	74	335	179	p1
70	left	75	335	179	p1
71	left	76	335	179	p1
72	left	77	335	179	p1
73	left	78	335	179	p1
74	left	79	335	179	p1
75	left	80	335	179	p1
76	left	81	335	179	p1
77	left	82	335	179	p1
78	left	83	335	179	p1
79	left	84	335	179	p1
80	left	85	335	179	p1
81	left	86	335	179	p1
82	left	87	335	179	p1
83	left	88	335	179	p1
88	left	89	336	179	p1
804	right	1	228	177	p10
881	right	2	229	177	p10
805	right	3	228	177	p10
806	right	4	228	177	p10
807	right	5	228	177	p10
808	right	6	228	177	p10
809	right	7	228	177	p10
810	right	8	228	177	p10
877	right	9	229	176	p10
878	right	10	229	176	p10
879	right	11	229	176	p10
880	right	12	229	176	p10
811	right	17	228	177	p10
812	right	18	228	177	p10
813	right	19	228	177	p10
814	right	20	228	177	p10
815	right	21	228	177	p10
816	right	22	228	177	p10
817	right	23	228	177	p10
818	right	24	228	177	p10
819	right	25	228	177	p10
820	right	26	228	177	p10
821	right	27	228	177	p10
822	right	28	228	177	p10
823	right	29	228	177	p10
824	right	30	228	177	p10
825	right	31	228	177	p10
826	right	32	228	177	p10
827	right	33	228	177	p10
828	right	34	228	177	p10
829	right	35	228	177	p10
830	right	36	228	177	p10
831	right	37	228	177	p10
832	right	38	228	177	p10
833	right	39	228	177	p10
834	right	40	228	177	p10
835	right	41	228	177	p10
836	right	42	228	177	p10
837	right	43	228	177	p10
838	right	44	228	177	p10
839	right	45	228	177	p10
840	right	46	228	177	p10
841	right	47	228	177	p10
842	right	48	228	177	p10
843	right	49	228	177	p10
844	right	50	228	177	p10
845	right	51	228	177	p10
846	right	52	228	177	p10
847	right	53	228	177	p10
848	right	54	228	177	p10
849	right	55	228	177	p10
850	right	56	228	177	p10
851	right	57	228	177	p10
882	right	58	229	177	p10
883	right	59	229	177	p10
884	right	60	229	177	p10
885	right	61	229	177	p10
852	right	62	228	177	p10
