camera	frame	cX	cY
left	1	139	196
left	1	207	223
left	1	141	229
left	1	210	256
left	1	144	263
left	1	214	290
left	1	146	296
left	1	634	441
right	1	25	193
right	1	97	221
right	1	28	228
right	1	31	262
right	1	105	289
right	1	33	296
right	1	567	427
left	2	139	196
left	2	207	223
left	2	141	230
left	2	210	256
left	2	144	263
left	2	214	290
left	2	146	296
left	2	634	441
right	2	25	193
right	2	97	221
right	2	28	228
right	2	31	262
right	2	105	289
right	2	33	296
right	2	567	427
left	3	139	196
left	3	207	223
left	3	141	230
left	3	210	256
left	3	144	263
left	3	214	290
left	3	146	296
left	3	634	441
right	3	25	193
right	3	97	221
right	3	28	228
right	3	31	262
right	3	105	289
right	3	33	296
right	3	567	427
left	4	139	196
left	4	207	223
left	4	141	229
left	4	210	256
left	4	144	263
left	4	214	290
left	4	146	296
left	4	634	441
right	4	25	193
right	4	97	221
right	4	28	228
right	4	31	262
right	4	105	289
right	4	33	296
right	4	567	427
left	5	204	190
left	5	138	196
left	5	207	223
left	5	141	229
left	5	211	256
left	5	144	263
left	5	214	290
left	5	145	297
left	5	634	441
right	5	24	193
right	5	101	255
right	5	34	296
right	5	567	427
left	6	204	190
left	6	138	196
left	6	207	223
left	6	141	229
left	6	211	256
left	6	144	263
left	6	214	290
left	6	145	297
left	6	634	441
right	6	24	193
right	6	101	255
right	6	34	296
right	6	567	427
left	7	204	190
left	7	138	196
left	7	207	223
left	7	141	229
left	7	211	256
left	7	144	263
left	7	214	290
left	7	145	297
left	7	634	441
right	7	24	193
right	7	101	255
right	7	34	296
right	7	567	427
left	8	204	190
left	8	138	196
left	8	207	223
left	8	141	229
left	8	211	256
left	8	144	263
left	8	214	290
left	8	145	297
left	8	634	441
right	8	24	193
right	8	101	255
right	8	34	296
right	8	567	427
left	9	205	190
left	9	139	196
left	9	207	223
left	9	141	230
left	9	210	256
left	9	144	263
left	9	214	290
left	9	145	296
left	9	634	440
right	9	93	187
right	9	24	192
right	9	97	221
right	9	31	262
right	9	34	296
right	9	567	427
left	10	205	190
left	10	139	196
left	10	207	223
left	10	141	230
left	10	210	256
left	10	144	263
left	10	214	290
left	10	145	296
left	10	634	440
right	10	93	187
right	10	24	192
right	10	97	221
right	10	31	262
right	10	34	296
right	10	567	427
left	11	205	190
left	11	139	196
left	11	207	223
left	11	141	230
left	11	210	256
left	11	144	263
left	11	214	290
left	11	145	296
left	11	634	440
right	11	93	187
right	11	24	192
right	11	97	221
right	11	31	262
right	11	34	296
right	11	567	427
left	12	205	190
left	12	139	196
left	12	207	223
left	12	141	230
left	12	210	256
left	12	144	263
left	12	214	290
left	12	145	296
left	12	634	440
right	12	94	187
right	12	97	221
right	12	101	255
right	12	31	262
right	12	105	289
right	12	34	296
right	12	567	427
left	13	204	190
left	13	138	196
left	13	208	223
left	13	141	230
left	13	211	256
left	13	144	263
left	13	214	290
left	13	146	296
left	13	634	440
right	13	94	187
right	13	97	221
right	13	101	255
right	13	31	262
right	13	105	289
right	13	34	296
right	13	567	427
left	14	204	190
left	14	138	196
left	14	208	223
left	14	141	230
left	14	211	256
left	14	144	263
left	14	214	290
left	14	146	296
left	14	634	440
right	14	94	187
right	14	97	221
right	14	101	255
right	14	31	262
right	14	105	289
right	14	34	296
right	14	567	427
left	15	204	190
left	15	138	196
left	15	208	223
left	15	141	230
left	15	211	256
left	15	144	263
left	15	214	290
left	15	146	296
left	15	634	440
right	15	94	187
right	15	97	221
right	15	101	255
right	15	31	262
right	15	105	289
right	15	34	296
right	15	567	427
left	16	204	190
left	16	138	196
left	16	208	223
left	16	141	230
left	16	211	256
left	16	144	263
left	16	214	290
left	16	146	296
left	16	634	440
right	16	24	192
right	16	101	255
right	16	106	289
right	16	33	296
right	16	567	427
left	17	204	190
left	17	138	196
left	17	207	223
left	17	141	229
left	17	210	256
left	17	144	263
left	17	214	290
left	17	146	297
left	17	634	441
right	17	24	192
right	17	101	255
right	17	106	289
right	17	33	296
right	17	567	427
left	18	204	190
left	18	138	196
left	18	207	223
left	18	141	229
left	18	210	256
left	18	144	263
left	18	214	290
left	18	146	297
left	18	634	441
right	18	24	192
right	18	101	255
right	18	106	289
right	18	33	296
right	18	567	427
left	19	204	190
left	19	138	196
left	19	207	223
left	19	141	229
left	19	210	256
left	19	144	263
left	19	214	290
left	19	146	297
left	19	634	441
right	19	24	192
right	19	101	255
right	19	106	289
right	19	33	296
right	19	567	427
left	20	204	190
left	20	138	196
left	20	207	223
left	20	141	229
left	20	210	256
left	20	144	263
left	20	214	290
left	20	146	297
left	20	634	441
right	20	94	187
right	20	25	193
right	20	97	221
right	20	27	228
right	20	31	262
right	20	106	289
right	20	33	296
right	20	567	427
left	21	204	190
left	21	138	196
left	21	207	223
left	21	141	229
left	21	210	256
left	21	143	263
left	21	214	290
left	21	145	296
left	21	634	441
right	21	94	187
right	21	25	193
right	21	98	221
right	21	27	228
right	21	31	262
right	21	106	289
right	21	33	296
right	21	567	427
left	22	204	190
left	22	138	196
left	22	207	223
left	22	141	229
left	22	210	256
left	22	143	263
left	22	214	290
left	22	145	296
left	22	634	441
right	22	94	187
right	22	25	193
right	22	97	221
right	22	27	228
right	22	31	262
right	22	106	289
right	22	33	296
right	22	567	427
left	23	204	190
left	23	138	196
left	23	207	223
left	23	141	229
left	23	210	256
left	23	143	263
left	23	214	290
left	23	145	296
left	23	634	441
right	23	94	187
right	23	25	193
right	23	97	221
right	23	27	228
right	23	31	262
right	23	106	289
right	23	33	296
right	23	567	427
left	24	204	190
left	24	138	196
left	24	207	223
left	24	141	229
left	24	210	256
left	24	143	263
left	24	214	290
left	24	145	296
left	24	634	441
right	24	24	193
right	24	97	221
right	24	31	262
right	24	34	296
right	24	566	427
left	25	204	190
left	25	138	196
left	25	207	223
left	25	141	230
left	25	210	256
left	25	144	263
left	25	214	290
left	25	145	296
left	25	634	441
right	25	24	193
right	25	97	221
right	25	31	262
right	25	34	296
right	25	566	427
left	26	204	190
left	26	138	196
left	26	207	223
left	26	141	230
left	26	210	256
left	26	144	263
left	26	214	290
left	26	145	296
left	26	634	441
right	26	24	193
right	26	97	221
right	26	31	262
right	26	34	296
right	26	566	427
left	27	204	190
left	27	138	196
left	27	207	223
left	27	141	230
left	27	210	256
left	27	144	263
left	27	214	290
left	27	145	296
left	27	634	441
right	27	94	187
right	27	24	193
right	27	97	221
right	27	31	262
right	27	105	289
right	27	34	296
right	27	567	427
left	28	204	190
left	28	138	196
left	28	207	223
left	28	141	230
left	28	210	256
left	28	144	263
left	28	214	290
left	28	145	296
left	28	634	441
right	28	94	187
right	28	24	193
right	28	97	221
right	28	31	262
right	28	105	289
right	28	34	296
right	28	567	427
left	29	204	190
left	29	139	196
left	29	207	223
left	29	141	229
left	29	210	256
left	29	144	263
left	29	214	290
left	29	146	296
left	29	634	441
right	29	94	187
right	29	24	193
right	29	97	221
right	29	31	262
right	29	105	289
right	29	34	296
right	29	567	427
left	30	204	190
left	30	139	196
left	30	207	223
left	30	141	229
left	30	210	256
left	30	144	263
left	30	214	290
left	30	146	296
left	30	634	441
right	30	94	187
right	30	24	193
right	30	97	221
right	30	31	262
right	30	105	289
right	30	34	296
right	30	567	427
left	31	204	190
left	31	139	196
left	31	207	223
left	31	141	229
left	31	210	256
left	31	144	263
left	31	214	290
left	31	146	296
left	31	634	441
right	31	94	186
right	31	24	193
right	31	97	221
right	31	101	255
right	31	31	262
right	31	105	289
right	31	33	296
right	31	567	427
left	32	204	190
left	32	139	196
left	32	207	223
left	32	141	229
left	32	210	256
left	32	144	263
left	32	214	290
left	32	146	296
left	32	634	441
right	32	94	186
right	32	24	193
right	32	97	221
right	32	101	255
right	32	31	262
right	32	105	289
right	32	33	296
right	32	567	427
left	33	204	190
left	33	138	196
left	33	207	223
left	33	141	229
left	33	210	256
left	33	144	263
left	33	214	290
left	33	145	297
left	33	634	440
right	33	94	186
right	33	24	193
right	33	97	221
right	33	101	255
right	33	31	262
right	33	105	289
right	33	33	296
right	33	567	427
left	34	204	190
left	34	138	196
left	34	207	223
left	34	141	229
left	34	210	256
left	34	144	263
left	34	214	290
left	34	145	297
left	34	634	440
right	34	94	186
right	34	24	193
right	34	97	221
right	34	101	255
right	34	31	262
right	34	105	289
right	34	33	296
right	34	567	427
left	35	204	190
left	35	138	196
left	35	207	223
left	35	141	229
left	35	210	256
left	35	144	263
left	35	214	290
left	35	145	297
left	35	634	440
right	35	93	187
right	35	97	221
right	35	101	255
right	35	31	262
right	35	33	296
right	35	567	427
left	36	204	190
left	36	138	196
left	36	207	223
left	36	141	229
left	36	210	256
left	36	144	263
left	36	214	290
left	36	145	297
left	36	634	440
right	36	93	187
right	36	97	221
right	36	101	255
right	36	31	262
right	36	33	296
right	36	567	427
left	37	204	190
left	37	139	196
left	37	207	223
left	37	141	230
left	37	211	256
left	37	144	263
left	37	214	290
left	37	146	296
left	37	634	441
right	37	93	187
right	37	97	221
right	37	101	255
right	37	31	262
right	37	33	296
right	37	567	427
left	38	204	190
left	38	139	196
left	38	207	223
left	38	141	230
left	38	211	256
left	38	144	263
left	38	214	290
left	38	146	296
left	38	634	441
right	38	93	187
right	38	97	221
right	38	101	255
right	38	31	262
right	38	33	296
right	38	567	427
left	39	204	190
left	39	139	196
left	39	207	223
left	39	141	230
left	39	211	256
left	39	144	263
left	39	214	290
left	39	146	296
left	39	634	441
right	39	24	193
right	39	98	221
right	39	31	262
right	39	34	296
right	39	567	427
left	40	204	190
left	40	139	196
left	40	207	223
left	40	141	230
left	40	211	256
left	40	144	263
left	40	214	290
left	40	146	296
left	40	634	441
right	40	24	193
right	40	98	221
right	40	31	262
right	40	34	296
right	40	567	427
left	41	204	190
left	41	138	196
left	41	207	223
left	41	141	230
left	41	210	256
left	41	144	263
left	41	214	291
left	41	145	296
left	41	634	440
right	41	24	193
right	41	98	221
right	41	31	262
right	41	34	296
right	41	567	427
left	42	204	190
left	42	138	196
left	42	207	223
left	42	141	230
left	42	210	256
left	42	144	263
left	42	214	291
left	42	145	296
left	42	634	440
right	42	24	193
right	42	101	255
right	42	105	289
right	42	33	296
right	42	567	427
left	43	204	190
left	43	138	196
left	43	207	223
left	43	141	230
left	43	210	256
left	43	144	263
left	43	214	291
left	43	145	296
left	43	634	440
right	43	24	193
right	43	101	255
right	43	105	289
right	43	33	296
right	43	567	427
left	44	204	190
left	44	138	196
left	44	207	223
left	44	141	230
left	44	210	256
left	44	144	263
left	44	214	291
left	44	145	296
left	44	634	440
right	44	24	193
right	44	101	255
right	44	105	289
right	44	33	296
right	44	567	427
left	45	204	190
left	45	139	196
left	45	207	222
left	45	141	230
left	45	211	256
left	45	143	263
left	45	215	290
left	45	146	296
left	45	634	441
right	45	24	193
right	45	101	255
right	45	105	289
right	45	33	296
right	45	567	427
left	46	204	190
left	46	139	196
left	46	207	222
left	46	141	230
left	46	211	256
left	46	143	263
left	46	215	290
left	46	146	296
left	46	634	441
right	46	25	193
right	46	97	221
right	46	27	228
right	46	31	262
right	46	33	296
