pname	lname	rname	start	end	duration	disparity	d2cam	lrd	height
sp0	p1	p83	1	183	6.07	107	1376.864	454.509	160.28
sp1	p113	p84	225	376	5.03	189	779.494	128.333	191.852
sp10	p200	p97	645	792	4.9	107	1376.864	318.271	325.14
sp11	p201	p94	1084	1253	5.63	239	616.42	148.128	97.897
sp12	p202	p98	1106	1246	4.67	79	1864.866	452.785	435.728
sp13	p203	p96	859	2360	50.03	177	832.341	228.39	100.353
sp14	p204	p181	2144	2259	3.83	79	1864.866	524.114	431.076
sp15	p205	p100	480	2356	62.53	107	1376.864	454.509	160.28
sp16	p215	p210	2369	2375	0.2	113	1303.756	210.31	169.115
sp17	p235	p209	2366	2383	0.57	109	1351.6	294.449	168.578
sp18	p254	p206	2348	2386	1.27	112	1315.397	211.094	170.625
sp19	p255	p207	2355	2394	1.3	109	1351.6	294.449	168.578
sp2	p114	p89	238	399	5.37	175	841.854	277.9	98.0
sp20	p3	p196	2295	2405	3.67	39	3777.549	822.949	471.154
sp21	p30	p212	2410	2422	0.4	109	1351.6	294.449	168.578
sp22	p34	p213	2421	2444	0.77	112	1315.397	211.094	170.625
sp23	p35	p214	2421	2441	0.67	110	1339.313	291.773	167.045
sp24	p36	p216	2444	2474	1.0	112	1315.397	211.094	170.625
sp25	p37	p217	2447	2478	1.03	110	1339.313	291.773	167.045
sp26	p38	p218	2455	2508	1.77	112	1315.397	211.094	169.531
sp27	p39	p219	2455	2504	1.63	109	1351.6	294.449	168.578
sp28	p40	p221	2496	2519	0.77	112	1315.397	211.094	170.625
sp29	p41	p220	2496	2514	0.6	109	1351.6	294.449	168.578
sp3	p154	p90	400	475	2.5	112	1315.397	211.094	170.625
sp30	p42	p222	2513	2529	0.53	41	3593.279	579.634	466.098
sp31	p43	p223	2515	2533	0.6	181	813.947	177.32	101.519
sp32	p44	p224	2534	2544	0.33	40	3683.111	591.063	477.75
sp33	p45	p225	2534	2557	0.77	181	813.947	177.32	101.519
sp34	p46	p230	2552	2587	1.17	15	9821.629	1584.333	1274.0
sp35	p47	p226	2543	2566	0.77	109	1351.6	294.449	168.578
sp36	p48	p228	2567	2754	6.23	113	1303.756	210.31	169.115
sp37	p49	p229	2565	2762	6.57	109	1351.6	294.449	168.578
sp38	p50	p231	2573	2728	5.17	107	1376.864	377.804	166.005
sp39	p51	p232	2565	2668	3.43	106	1389.853	381.368	323.585
sp4	p155	p93	403	479	2.53	28	5261.587	1146.25	656.25
sp40	p52	p234	2639	2726	2.9	250	589.298	162.19	71.05
sp41	p53	p227	2558	2683	4.17	107	1376.864	378.949	321.706
sp42	p54	p233	2577	2728	5.03	108	1364.115	451.435	157.662
sp43	p55	p82	36	224	6.27	29	5080.153	815.259	658.966
sp44	p56	p85	36	269	7.77	346	425.793	140.556	49.566
sp45	p57	p242	2761	2775	0.47	113	1303.756	210.31	169.115
sp46	p58	p243	2761	2790	0.97	28	5261.587	1146.25	656.25
sp47	p59	p244	2774	2810	1.2	113	1303.756	210.31	169.115
sp48	p60	p246	2774	2816	1.4	181	813.947	177.32	101.519
sp49	p61	p248	2815	2840	0.83	113	1303.756	210.31	169.115
sp5	p156	p88	394	421	0.9	176	837.071	228.992	100.923
sp50	p62	p247	2815	2844	0.97	29	5080.153	1106.724	633.621
sp51	p63	p250	2839	2848	0.3	112	1315.397	212.188	169.531
sp52	p64	p253	2845	2859	0.47	28	5261.587	1146.25	656.25
sp53	p65	p252	2851	2867	0.53	113	1303.756	210.31	169.115
sp54	p66	p256	2858	2870	0.4	28	5261.587	1146.25	656.25
sp55	p67	p257	2869	2882	0.43	113	1303.756	210.31	169.115
sp56	p68	p259	2871	2885	0.47	28	5261.587	1146.25	656.25
sp57	p69	p263	2886	2923	1.23	113	1303.756	210.31	169.115
sp58	p70	p266	2886	2928	1.4	28	5261.587	1146.25	656.25
sp59	p71	p265	2911	2934	0.77	113	1303.756	210.31	169.115
sp6	p157	p92	400	421	0.7	175	841.854	277.9	98.0
sp60	p72	p267	2928	2947	0.63	181	813.947	177.32	101.519
sp61	p73	p270	2946	3035	2.97	113	1303.756	210.31	169.115
sp62	p74	p272	2946	3035	2.97	28	5261.587	1146.25	656.25
sp63	p75	p271	2954	3039	2.83	189	779.494	202.87	186.667
sp64	p76	p87	47	397	11.67	112	1315.397	211.094	170.625
sp65	p77	p86	47	389	11.4	175	841.854	277.9	98.0
sp66	p78	p17	3040	3201	5.37	113	1303.756	210.31	169.115
sp67	p79	p31	3040	3210	5.67	181	813.947	177.32	101.519
sp68	p80	p33	3055	3210	5.17	108	1364.115	374.306	164.468
sp69	p81	p28	3059	3210	5.03	108	1364.115	451.435	157.662
sp7	p198	p95	475	2353	62.6	113	1303.756	210.31	169.115
sp8	p199	p99	475	2368	63.1	40	3683.111	802.375	459.375
sp9	p2	p211	2378	2418	1.33	112	1315.397	211.094	170.625
