pname	lname	rname	start	end	duration	disparity	d2cam	lrd	height
sp0	p6	p20	1	90	2.97	67	918.383	628.955	303.507
sp1	p7	p19	1	90	2.97	81	759.65	532.345	222.315
sp2	p8	p18	1	90	2.97	100	615.317	444.675	145.775
sp3	p9	p17	1	90	2.97	133	462.644	351.842	68.158
sp0	p10	p23	1	90	2.97	83	741.345	737.951	209.578
sp1	p13	p24	1	90	2.97	107	575.062	631.962	127.079
sp2	p7	p21	6	74	2.27	39	1577.735	1331.795	593.654
sp3	p8	p20	1	90	2.97	67	918.383	808.134	325.448
sp4	p9	p22	1	90	2.97	68	904.878	839.486	293.64
