camera	frame	cX	cY	area	minI	maxI	meanI
left	1	361	94	5.0	109.0	148.0	130.4
right	1	296	96	2.0	109.0	140.0	121.0
left	2	361	93	3.0	115.0	145.0	127.42857142857142
right	2	296	96	2.0	109.0	140.0	121.0
left	3	361	93	3.0	115.0	145.0	127.42857142857142
right	3	295	96	1.5	110.0	138.0	121.4
left	4	361	93	3.0	115.0	145.0	127.42857142857142
right	4	295	96	1.5	110.0	138.0	121.4
left	5	361	93	3.0	115.0	145.0	127.42857142857142
right	5	295	96	1.5	110.0	138.0	121.4
left	6	361	94	6.0	109.0	150.0	121.75
right	6	295	96	1.5	110.0	138.0	121.4
left	7	361	94	6.0	109.0	150.0	121.75
right	7	295	96	1.0	114.0	133.0	121.25
left	8	361	94	6.0	109.0	150.0	121.75
right	8	295	96	1.0	114.0	133.0	121.25
left	9	361	94	6.0	109.0	150.0	121.75
right	9	295	96	1.0	114.0	133.0	121.25
left	10	361	94	3.0	108.0	133.0	116.28571428571428
right	10	295	96	1.0	114.0	133.0	121.25
left	11	361	94	3.0	108.0	133.0	116.28571428571428
right	11	295	96	1.0	126.0	133.0	127.75
left	12	361	94	3.0	108.0	133.0	116.28571428571428
right	12	295	96	1.0	126.0	133.0	127.75
left	13	361	94	3.0	108.0	133.0	116.28571428571428
right	13	295	96	1.0	126.0	133.0	127.75
left	14	360	94	5.5	124.0	159.0	136.72727272727272
right	14	295	96	1.5	119.0	154.0	135.4
left	15	360	94	5.5	124.0	159.0	136.72727272727272
right	15	295	96	1.5	119.0	154.0	135.4
left	16	360	94	5.5	124.0	159.0	136.72727272727272
right	16	295	96	1.5	119.0	154.0	135.4
left	17	360	94	4.5	109.0	141.0	122.30000000000001
right	17	295	96	1.5	119.0	154.0	135.4
left	18	360	94	4.5	109.0	141.0	122.30000000000001
right	18	295	96	2.0	121.0	143.0	126.5
left	19	360	94	4.5	109.0	141.0	122.30000000000001
right	19	295	96	2.0	121.0	143.0	126.5
left	20	360	94	4.5	109.0	141.0	122.30000000000001
right	20	295	96	2.0	121.0	143.0	126.5
left	21	360	94	5.5	109.0	147.0	128.54545454545456
right	21	295	96	2.0	121.0	143.0	126.5
left	22	360	94	5.5	109.0	147.0	128.54545454545456
right	22	295	96	1.0	108.0	127.0	115.0
left	23	360	94	5.5	109.0	147.0	128.54545454545456
right	23	295	96	1.0	108.0	127.0	115.0
left	24	360	94	5.5	109.0	147.0	128.54545454545456
right	24	295	96	1.0	108.0	127.0	115.0
left	25	360	93	2.5	114.0	147.0	125.14285714285714
right	25	295	96	1.0	108.0	127.0	115.0
left	26	360	93	2.5	114.0	147.0	125.14285714285714
left	27	360	93	2.5	114.0	147.0	125.14285714285714
left	28	360	93	2.5	114.0	147.0	125.14285714285714
left	29	360	93	2.0	116.0	137.0	124.33333333333333
left	30	360	93	2.0	116.0	137.0	124.33333333333333
left	31	360	93	2.0	116.0	137.0	124.33333333333333
left	32	360	93	3.5	109.0	140.0	121.0
left	33	360	93	3.5	109.0	140.0	121.0
right	33	295	96	1.5	112.0	131.0	116.4
left	34	360	93	3.5	109.0	140.0	121.0
right	34	295	96	1.5	112.0	131.0	116.4
left	35	360	93	3.5	109.0	140.0	121.0
right	35	295	96	1.5	112.0	131.0	116.4
left	36	360	93	3.5	112.0	151.0	128.5
right	36	295	96	1.5	112.0	131.0	116.4
left	37	360	93	3.5	112.0	151.0	128.5
left	38	360	93	3.5	112.0	151.0	128.5
left	39	360	93	3.5	112.0	151.0	128.5
left	40	360	93	3.5	110.0	152.0	129.5
left	41	360	93	3.5	110.0	152.0	129.5
right	41	295	96	0.5	109.0	126.0	113.66666666666666
left	42	360	93	3.5	110.0	152.0	129.5
right	42	295	96	0.5	109.0	126.0	113.66666666666666
left	43	360	93	3.5	110.0	152.0	129.5
right	43	295	96	0.5	109.0	126.0	113.66666666666666
left	44	360	93	2.0	120.0	134.0	125.0
left	45	360	93	2.0	120.0	134.0	125.0
left	46	360	93	2.0	120.0	134.0	125.0
left	81	360	153	2.5	108.0	138.0	121.71428571428571
left	82	360	153	2.5	108.0	138.0	121.71428571428571
right	82	295	155	0.5	123.0	134.0	125.66666666666666
left	83	360	153	2.5	108.0	138.0	121.71428571428571
right	83	295	155	0.5	123.0	134.0	125.66666666666666
left	84	360	153	2.5	108.0	138.0	121.71428571428571
right	84	295	155	0.5	123.0	134.0	125.66666666666666
left	85	360	153	4.5	114.0	166.0	135.55555555555554
right	85	295	155	0.5	123.0	134.0	125.66666666666666
left	86	360	153	4.5	114.0	166.0	135.55555555555554
right	86	295	155	2.5	108.0	144.0	122.0
left	87	360	153	4.5	114.0	166.0	135.55555555555554
right	87	295	155	2.5	108.0	144.0	122.0
left	88	360	153	4.5	114.0	166.0	135.55555555555554
right	88	295	155	2.5	108.0	144.0	122.0
