camera	frame	cX	cY
left	1	608	155
left	1	540	162
left	1	612	189
left	1	543	196
left	1	616	224
left	1	546	230
left	1	619	258
left	1	548	264
left	1	634	440
right	1	495	155
right	1	429	161
right	1	498	188
right	1	432	194
right	1	501	221
right	1	434	228
right	1	436	260
right	1	567	427
left	2	607	155
left	2	540	162
left	2	612	190
left	2	542	196
left	2	616	224
left	2	546	230
left	2	548	264
left	2	634	441
right	2	495	154
right	2	429	160
right	2	497	188
right	2	431	194
right	2	501	221
right	2	434	227
right	2	436	261
right	2	567	427
left	3	607	155
left	3	540	162
left	3	612	190
left	3	542	196
left	3	616	224
left	3	546	230
left	3	548	264
left	3	634	441
right	3	495	154
right	3	429	160
right	3	497	188
right	3	431	194
right	3	501	221
right	3	434	227
right	3	436	261
right	3	567	427
left	4	607	155
left	4	540	162
left	4	612	190
left	4	542	196
left	4	616	224
left	4	546	230
left	4	548	264
left	4	634	441
right	4	494	155
right	4	429	160
right	4	497	188
right	4	432	194
right	4	501	221
right	4	435	227
right	4	436	260
right	4	567	427
left	5	607	155
left	5	540	162
left	5	612	190
left	5	542	196
left	5	616	224
left	5	546	230
left	5	548	264
left	5	634	441
right	5	494	155
right	5	429	160
right	5	497	188
right	5	432	194
right	5	501	221
right	5	435	227
right	5	436	260
right	5	567	427
left	6	608	155
left	6	539	162
left	6	612	189
left	6	543	196
left	6	616	224
left	6	546	230
left	6	620	258
left	6	548	264
left	6	634	441
right	6	494	155
right	6	429	160
right	6	497	188
right	6	432	194
right	6	501	221
right	6	435	227
right	6	436	260
right	6	567	427
left	7	608	155
left	7	539	162
left	7	612	189
left	7	543	196
left	7	616	224
left	7	546	230
left	7	620	258
left	7	548	264
left	7	634	441
right	7	494	155
right	7	429	160
right	7	497	188
right	7	432	194
right	7	501	221
right	7	435	227
right	7	436	260
right	7	567	427
left	8	608	155
left	8	539	162
left	8	612	189
left	8	543	196
left	8	616	224
left	8	546	230
left	8	620	258
left	8	548	264
left	8	634	441
right	8	495	154
right	8	429	160
right	8	498	188
right	8	432	194
right	8	501	221
right	8	434	227
right	8	436	260
right	8	567	427
left	9	608	155
left	9	539	162
left	9	612	189
left	9	543	196
left	9	616	224
left	9	546	230
left	9	620	258
left	9	548	264
left	9	634	441
right	9	495	154
right	9	429	160
right	9	498	188
right	9	432	194
right	9	501	221
right	9	434	227
right	9	436	260
right	9	567	427
left	10	608	156
left	10	540	162
left	10	612	189
left	10	543	196
left	10	616	223
left	10	545	230
left	10	619	258
left	10	547	264
left	10	634	441
right	10	495	154
right	10	429	160
right	10	498	188
right	10	432	194
right	10	501	221
right	10	434	227
right	10	436	260
right	10	567	427
left	11	608	156
left	11	540	162
left	11	612	189
left	11	543	196
left	11	616	223
left	11	545	230
left	11	619	258
left	11	547	264
left	11	634	441
right	11	495	154
right	11	429	160
right	11	498	188
right	11	432	194
right	11	501	221
right	11	434	227
right	11	436	260
right	11	567	427
left	12	608	156
left	12	540	162
left	12	612	189
left	12	543	196
left	12	616	223
left	12	545	230
left	12	619	258
left	12	547	264
left	12	634	441
right	12	494	154
right	12	429	161
right	12	498	188
right	12	431	194
right	12	501	221
right	12	435	227
right	12	436	261
right	12	567	427
left	13	608	156
left	13	540	162
left	13	612	189
left	13	543	196
left	13	616	223
left	13	545	230
left	13	619	258
left	13	547	264
left	13	634	441
right	13	494	154
right	13	429	161
right	13	498	188
right	13	431	194
right	13	501	221
right	13	435	227
right	13	436	261
right	13	567	427
left	14	608	155
left	14	540	162
left	14	612	189
left	14	542	196
left	14	615	223
left	14	546	230
left	14	620	258
left	14	548	264
left	14	634	441
right	14	494	154
right	14	429	161
right	14	497	188
right	14	431	194
right	14	501	221
right	14	435	227
right	14	436	261
right	14	567	427
left	15	608	155
left	15	540	162
left	15	612	189
left	15	542	196
left	15	615	223
left	15	546	230
left	15	620	258
left	15	548	264
left	15	634	441
right	15	494	154
right	15	429	161
right	15	497	188
right	15	431	194
right	15	501	221
right	15	435	227
right	15	436	261
right	15	567	427
left	16	608	155
left	16	540	162
left	16	612	189
left	16	542	196
left	16	615	223
left	16	546	230
left	16	620	258
left	16	548	264
left	16	634	441
right	16	494	155
right	16	429	160
right	16	498	188
right	16	432	194
right	16	501	221
right	16	434	228
right	16	436	260
right	16	567	427
left	17	608	155
left	17	540	162
left	17	612	189
left	17	542	196
left	17	615	223
left	17	546	230
left	17	620	258
left	17	548	264
left	17	634	441
right	17	494	155
right	17	429	160
right	17	498	188
right	17	432	194
right	17	501	221
right	17	434	228
right	17	436	260
right	17	567	427
left	18	607	156
left	18	540	162
left	18	543	196
left	18	616	224
left	18	546	230
left	18	619	258
left	18	548	264
left	18	634	441
right	18	494	155
right	18	429	160
right	18	498	188
right	18	432	194
right	18	501	221
right	18	434	228
right	18	436	260
right	18	567	427
left	19	607	156
left	19	540	162
left	19	543	196
left	19	616	224
left	19	546	230
left	19	619	258
left	19	548	264
left	19	634	441
right	19	494	155
right	19	429	161
right	19	497	188
right	19	432	194
right	19	501	221
right	19	434	228
right	19	436	260
right	19	567	427
left	20	607	156
left	20	540	162
left	20	543	196
left	20	616	224
left	20	546	230
left	20	619	258
left	20	548	264
left	20	634	441
right	20	494	155
right	20	429	161
right	20	497	188
right	20	432	194
right	20	501	221
right	20	434	228
right	20	436	260
right	20	567	427
left	21	607	156
left	21	540	162
left	21	543	196
left	21	616	224
left	21	546	230
left	21	619	258
left	21	548	264
left	21	634	441
right	21	494	155
right	21	429	161
right	21	497	188
right	21	432	194
right	21	501	221
right	21	434	228
right	21	436	260
right	21	567	427
left	22	607	156
left	22	539	162
left	22	612	189
