	camera	pulse	start	finish	minx	maxx	modex	miny	maxy	modey	spulse
0	left	p1	1	80	138	139	138	196	196	196	sp0
0	right	p10	1	79	24	25	24	192	193	193	sp0
1	left	p2	1	80	141	141	141	229	230	230	sp1
1	right	p11	1	71	27	28	27	228	228	228	sp1
2	left	p3	1	80	143	144	144	263	263	263	sp2
2	right	p12	1	80	31	32	31	262	262	262	sp2
3	left	p4	1	80	145	146	145	296	297	296	sp3
3	right	p13	1	80	33	34	33	296	296	296	sp3
4	left	p5	5	80	204	205	204	190	190	190	sp4
4	right	p14	9	80	93	94	94	186	187	187	sp4
5	left	p6	1	80	207	208	207	222	223	223	sp5
5	right	p15	1	80	97	98	97	221	221	221	sp5
6	left	p7	1	80	210	211	210	256	256	256	sp6
6	right	p16	5	79	101	101	101	254	255	255	sp6
7	left	p8	1	80	214	215	214	290	291	290	sp7
7	right	p17	1	79	105	106	105	289	289	289	sp7
