camera	frame	cX	cY
left	247	198	296
right	247	222	143
right	247	10	302
left	248	397	140
left	248	198	296
right	248	222	143
right	248	9	302
left	249	397	140
left	249	198	296
right	249	222	143
right	249	9	302
left	250	397	140
left	250	198	296
right	250	222	143
right	250	9	302
left	251	397	140
left	251	198	296
right	251	223	143
right	251	10	302
left	252	397	140
left	252	198	296
right	252	223	143
right	252	10	302
left	253	397	140
left	253	198	296
right	253	223	143
right	253	10	302
left	254	397	140
left	254	198	296
right	254	223	143
right	254	10	302
left	255	397	140
left	255	198	296
right	255	223	143
right	255	9	302
left	256	397	140
left	256	198	296
right	256	223	143
right	256	9	302
left	257	397	140
left	257	198	296
right	257	223	143
right	257	9	302
left	258	397	140
left	258	198	296
right	258	223	143
right	258	9	302
left	259	397	140
left	259	198	296
right	259	222	143
right	259	10	302
left	260	397	140
left	260	198	296
right	260	222	143
right	260	10	302
left	261	397	140
left	261	198	296
right	261	222	143
right	261	10	302
left	262	397	140
left	262	198	296
right	262	222	143
right	262	10	302
left	263	397	140
left	263	198	296
right	263	222	143
right	263	9	302
left	264	397	140
left	264	198	296
right	264	222	143
right	264	9	302
left	265	397	140
left	265	198	296
right	265	222	143
right	265	9	302
left	266	397	140
left	266	198	296
right	266	51	48
right	266	222	143
right	266	10	302
left	267	397	140
left	267	198	296
right	267	51	48
right	267	222	143
right	267	10	302
left	268	397	140
left	268	198	296
right	268	51	48
right	268	222	143
right	268	10	302
left	269	397	140
left	269	198	296
right	269	51	48
right	269	222	143
right	269	10	302
left	270	397	140
left	270	198	296
right	270	223	143
right	270	9	302
left	271	397	140
left	271	198	296
right	271	223	143
right	271	9	302
left	272	397	140
left	272	198	296
right	272	223	143
right	272	9	302
left	273	397	140
left	273	198	296
right	273	223	143
right	273	9	302
left	274	397	140
left	274	198	296
right	274	222	143
right	274	10	302
left	275	397	140
left	275	198	296
right	275	222	143
right	275	10	302
left	276	397	140
left	276	198	296
right	276	222	143
right	276	10	302
left	277	397	140
left	277	198	296
right	277	222	143
right	277	10	302
left	278	397	140
left	278	198	296
right	278	223	143
right	278	9	302
left	279	397	140
left	279	198	296
right	279	223	143
right	279	9	302
left	280	397	140
left	280	198	296
right	280	223	143
right	280	9	302
left	281	397	140
left	281	198	296
right	281	222	143
right	281	9	302
left	282	397	140
left	282	198	296
right	282	222	143
right	282	9	302
left	283	397	140
left	283	198	296
right	283	222	143
right	283	9	302
left	284	397	140
left	284	198	296
right	284	222	143
right	284	9	302
left	285	397	140
left	285	198	296
right	285	222	143
right	285	9	302
left	286	397	140
left	286	198	296
right	286	222	143
right	286	9	302
left	287	397	140
left	287	198	296
right	287	222	143
right	287	9	302
left	288	397	140
left	288	198	296
right	288	222	143
right	288	9	302
left	289	397	140
left	289	198	296
right	289	222	143
right	289	9	302
left	290	397	140
left	290	198	296
right	290	222	143
right	290	9	302
left	291	397	140
left	291	198	296
right	291	222	143
right	291	9	302
left	292	397	140
left	292	198	296
right	292	222	143
right	292	9	302
left	293	397	140
left	293	198	296
right	293	222	143
right	293	9	302
left	294	397	140
left	294	198	296
right	294	222	143
right	294	9	302
left	295	397	140
left	295	198	296
right	295	222	143
right	295	9	302
left	296	397	140
left	296	198	296
right	296	222	143
right	296	9	302
left	297	397	140
left	297	198	296
right	297	222	143
right	297	9	302
left	298	397	140
left	298	198	296
right	298	222	143
right	298	9	302
left	299	397	140
left	299	198	296
right	299	222	143
right	299	9	302
left	300	397	140
left	300	198	296
right	300	222	143
right	300	9	303
left	301	397	140
left	301	198	296
right	301	222	143
right	301	9	303
left	302	396	140
left	302	198	296
right	302	222	143
right	302	9	303
left	303	396	140
left	303	198	296
right	303	222	143
right	303	9	303
left	304	396	140
left	304	198	296
right	304	222	143
right	304	10	302
left	305	396	140
left	305	198	296
right	305	222	143
right	305	10	302
left	306	397	140
left	306	198	296
right	306	222	143
right	306	10	302
left	307	397	140
left	307	198	296
right	307	222	143
right	307	10	302
left	308	397	140
left	308	198	296
right	308	222	143
right	308	9	302
left	309	397	140
left	309	198	296
right	309	222	143
right	309	9	302
left	310	397	140
left	310	198	296
right	310	222	143
right	310	9	302
left	311	397	140
left	311	198	296
right	311	222	143
right	311	9	302
left	312	397	140
left	312	198	296
right	312	222	143
right	312	9	302
left	313	397	140
left	313	198	296
right	313	222	143
right	313	9	302
left	314	397	140
left	314	198	296
right	314	222	143
right	314	9	302
left	315	397	140
left	315	198	296
right	315	222	143
right	315	9	302
left	316	397	140
left	316	198	296
right	316	222	143
right	316	9	302
left	317	397	140
left	317	198	296
