pname	lname	rname	start	end	duration	disparity	d2cam	lrd	height
sp0	p1	p39	1	183	6.07	144	3.148	347.982	117.412
sp9	p117	p73	2123	2293	5.67	113	4.011	369.662	298.115
sp39	p89	p46	238	399	5.37	211	2.148	237.441	80.115
sp19	p19	p102	2573	2728	5.17	142	3.192	293.319	122.504
sp31	p36	p149	3055	3210	5.17	211	2.148	197.384	82.437
sp32	p37	p150	3055	3210	5.17	212	2.138	236.914	79.164
sp21	p20	p103	2577	2728	5.03	144	3.148	348.832	116.561
sp3	p111	p60	645	792	4.9	141	3.215	244.166	241.559
sp4	p112	p61	1106	1238	4.4	113	4.011	319.796	299.199
sp18	p18	p101	2558	2683	4.17	141	3.215	290.219	240.691
sp15	p152	p83	2284	2390	3.53	148	3.062	171.306	124.135
