	camera	frame	cX	cY	pulse
0	left	1	319	86	p1
1	left	2	319	86	p1
2	left	3	319	86	p1
3	left	4	319	86	p1
4	left	5	319	86	p1
5	left	6	319	86	p1
6	left	7	319	86	p1
7	left	8	319	86	p1
8	left	9	319	86	p1
9	left	10	319	86	p1
10	left	11	319	86	p1
11	left	12	319	86	p1
12	left	13	319	86	p1
13	left	14	319	86	p1
14	left	15	319	86	p1
15	left	16	319	86	p1
16	left	17	319	86	p1
17	left	18	319	86	p1
18	left	19	319	86	p1
19	left	20	319	86	p1
20	left	21	319	86	p1
21	left	22	319	86	p1
22	left	23	319	86	p1
23	left	24	319	86	p1
24	left	25	319	86	p1
25	left	26	319	86	p1
26	left	27	319	86	p1
27	left	28	319	86	p1
28	left	29	319	86	p1
29	left	30	319	86	p1
30	left	31	319	86	p1
31	left	32	319	86	p1
32	left	33	319	86	p1
33	left	34	319	86	p1
34	left	35	319	86	p1
35	left	36	319	86	p1
36	left	37	319	86	p1
37	left	38	319	86	p1
38	left	39	319	86	p1
39	left	40	319	86	p1
40	left	41	319	86	p1
41	left	42	319	86	p1
42	left	43	319	86	p1
43	left	44	319	86	p1
44	left	45	319	86	p1
45	left	46	319	86	p1
46	left	47	319	86	p1
47	left	48	319	86	p1
48	left	49	319	86	p1
49	left	50	319	86	p1
50	left	51	319	86	p1
51	left	52	319	86	p1
52	left	53	319	86	p1
53	left	54	319	86	p1
54	left	55	319	86	p1
55	left	56	319	86	p1
56	left	57	319	86	p1
57	left	58	319	86	p1
58	left	59	319	86	p1
59	left	60	319	86	p1
60	left	61	319	86	p1
61	left	62	319	86	p1
62	left	63	319	86	p1
63	left	64	319	86	p1
64	left	65	319	86	p1
65	left	66	319	86	p1
66	left	67	319	86	p1
67	left	68	319	86	p1
68	left	69	319	86	p1
69	left	70	319	86	p1
70	left	71	319	86	p1
71	left	72	319	86	p1
72	left	73	319	86	p1
73	left	74	319	86	p1
74	left	75	319	86	p1
75	left	76	319	86	p1
76	left	77	319	86	p1
77	left	78	319	86	p1
78	left	79	319	86	p1
79	left	80	319	86	p1
80	left	81	319	86	p1
81	left	82	319	86	p1
82	left	83	319	86	p1
83	left	84	319	86	p1
84	left	85	319	86	p1
85	left	86	319	86	p1
86	left	87	319	86	p1
87	left	88	319	86	p1
88	left	89	319	86	p1
801	right	1	125	88	p10
802	right	2	125	88	p10
803	right	3	125	88	p10
804	right	4	125	88	p10
805	right	5	125	88	p10
806	right	6	125	88	p10
807	right	7	125	88	p10
808	right	8	125	88	p10
809	right	9	125	88	p10
810	right	10	125	88	p10
811	right	11	125	88	p10
812	right	12	125	88	p10
813	right	13	125	88	p10
814	right	14	125	88	p10
843	right	15	126	88	p10
844	right	16	126	88	p10
845	right	17	126	88	p10
846	right	18	126	88	p10
847	right	19	126	88	p10
848	right	20	126	88	p10
849	right	21	126	88	p10
815	right	22	125	88	p10
816	right	23	125	88	p10
817	right	24	125	88	p10
818	right	25	125	88	p10
850	right	26	126	88	p10
851	right	27	126	88	p10
852	right	28	126	88	p10
853	right	29	126	88	p10
854	right	30	126	88	p10
855	right	31	126	88	p10
856	right	32	126	88	p10
819	right	33	125	88	p10
820	right	34	125	88	p10
821	right	35	125	88	p10
822	right	36	125	88	p10
857	right	37	126	88	p10
858	right	38	126	88	p10
859	right	39	126	88	p10
860	right	40	126	88	p10
823	right	41	125	88	p10
824	right	42	125	88	p10
825	right	43	125	88	p10
826	right	44	125	88	p10
861	right	45	126	88	p10
862	right	46	126	88	p10
863	right	47	126	88	p10
864	right	48	126	88	p10
865	right	49	126	88	p10
866	right	50	126	88	p10
867	right	51	126	88	p10
868	right	52	126	88	p10
869	right	53	126	88	p10
870	right	54	126	88	p10
871	right	55	126	88	p10
872	right	56	126	88	p10
873	right	57	126	88	p10
