camera	frame	cX	cY
left	58	254	121
left	59	254	121
right	59	389	124
left	60	254	121
right	60	389	124
left	61	254	121
right	61	389	124
left	62	255	120
right	62	391	121
left	63	255	120
right	63	391	121
left	64	255	120
right	64	391	121
left	65	255	121
right	65	391	121
left	66	255	121
right	66	391	121
left	67	255	121
right	67	391	121
left	68	255	121
right	68	391	121
left	69	255	121
right	69	392	122
right	70	392	122
right	71	392	122
right	72	392	122
left	98	251	101
left	99	251	101
left	100	251	101
left	101	251	101
left	102	253	101
right	102	395	104
left	103	253	101
right	103	395	104
left	104	253	101
right	104	395	104
left	105	253	101
right	105	395	104
left	106	255	102
right	106	397	103
left	107	255	102
right	107	397	103
left	108	255	102
right	108	397	103
right	109	397	103
left	124	240	136
right	124	380	139
left	125	240	136
right	125	380	139
left	126	240	136
right	126	380	139
left	127	240	136
right	127	380	139
left	128	240	136
right	128	381	138
left	129	240	136
right	129	381	138
left	130	240	136
right	130	381	138
left	131	240	136
right	131	381	137
left	146	215	180
right	146	358	183
left	147	215	180
right	147	358	183
left	148	215	180
right	148	358	183
left	149	215	180
right	149	358	183
left	150	214	179
right	150	358	182
left	151	214	179
right	151	358	182
left	152	214	179
right	152	358	182
left	153	214	179
right	153	358	182
left	165	228	239
left	166	228	239
left	167	228	239
left	168	228	239
left	169	228	239
right	169	369	244
left	170	228	239
right	170	369	244
left	171	228	239
right	171	369	244
left	187	228	295
left	188	228	295
left	189	228	295
left	190	228	295
right	191	366	302
right	192	366	302
right	193	366	302
left	205	212	362
left	206	212	362
left	207	212	362
left	208	212	362
right	209	347	371
right	210	347	371
right	211	347	371
right	212	347	371
