	camera	frame	cX	cY	pulse
0	left	58	254	121	p1
1	left	59	254	121	p1
2	left	60	254	121	p1
3	left	61	254	121	p1
4	left	62	255	120	p1
5	left	63	255	120	p1
6	left	64	255	120	p1
7	left	65	255	121	p1
8	left	66	255	121	p1
9	left	67	255	121	p1
10	left	68	255	121	p1
11	left	69	255	121	p1
65	left	165	228	239	noise
66	left	166	228	239	noise
67	left	167	228	239	noise
68	left	168	228	239	noise
69	left	169	228	239	noise
70	left	170	228	239	noise
71	left	171	228	239	noise
72	left	187	228	295	noise
73	left	188	228	295	noise
74	left	189	228	295	noise
75	left	190	228	295	noise
76	left	205	212	362	p12
77	left	206	212	362	p12
78	left	207	212	362	p12
79	left	208	212	362	p12
80	right	59	389	124	p13
81	right	60	389	124	p13
82	right	61	389	124	p13
83	right	62	391	121	p13
84	right	63	391	121	p13
85	right	64	391	121	p13
86	right	65	391	121	p13
87	right	66	391	121	p13
88	right	67	391	121	p13
89	right	68	391	121	p13
90	right	69	392	122	p13
91	right	70	392	122	p13
92	right	71	392	122	p13
93	right	72	392	122	p13
12	right	124	380	139	p2
13	right	125	380	139	p2
14	right	126	380	139	p2
15	right	127	380	139	p2
17	right	128	381	138	p2
18	right	129	381	138	p2
19	right	130	381	138	p2
16	right	131	381	137	p2
24	right	146	358	183	p3
25	right	147	358	183	p3
26	right	148	358	183	p3
27	right	149	358	183	p3
20	right	150	358	182	p3
21	right	151	358	182	p3
22	right	152	358	182	p3
23	right	153	358	182	p3
28	right	169	369	244	p4
29	right	170	369	244	p4
30	right	171	369	244	p4
31	right	191	366	302	p5
32	right	192	366	302	p5
33	right	193	366	302	p5
34	right	209	347	371	p6
35	right	210	347	371	p6
36	right	211	347	371	p6
37	right	212	347	371	p6
38	left	98	251	101	p7
39	left	99	251	101	p7
40	left	100	251	101	p7
41	left	101	251	101	p7
42	left	102	253	101	p7
43	left	103	253	101	p7
44	left	104	253	101	p7
45	left	105	253	101	p7
46	left	106	255	102	p7
47	left	107	255	102	p7
48	left	108	255	102	p7
49	left	124	240	136	p8
50	left	125	240	136	p8
51	left	126	240	136	p8
52	left	127	240	136	p8
53	left	128	240	136	p8
54	left	129	240	136	p8
55	left	130	240	136	p8
56	left	131	240	136	p8
61	left	146	215	180	p9
62	left	147	215	180	p9
63	left	148	215	180	p9
64	left	149	215	180	p9
57	left	150	214	179	p9
58	left	151	214	179	p9
59	left	152	214	179	p9
60	left	153	214	179	p9
