frame	cX	cY	area	minI	maxI	meanI	camera	tank	cXtank	match_status
669	2068	401	12.0	182.0	235.0	216.1052631578947	right	right_tank1	6.0	
669	2192	409	124.5	181.0	255.0	235.0397350993377	right	right_tank1	130.0	match
670	297	391	113.0	181.0	255.0	226.8955223880597	left	left_tank1	112.0	match
670	2069	399	15.5	181.0	235.0	212.17391304347825	right	right_tank1	7.0	
670	2193	410	109.5	181.0	255.0	228.7615384615385	right	right_tank1	131.0	match
671	296	390	139.0	181.0	255.0	229.3170731707317	left	left_tank1	111.0	match
671	2073	399	29.5	182.0	226.0	212.5581395348837	right	right_tank1	11.0	
671	2192	410	100.0	181.0	255.0	232.8083333333333	right	right_tank1	130.0	match
672	296	390	120.5	182.0	255.0	230.11888111888112	left	left_tank1	111.0	match
672	2072	398	39.5	181.0	255.0	215.54545454545453	right	right_tank1	10.0	
672	2192	410	112.0	182.0	255.0	233.74242424242425	right	right_tank1	130.0	match
673	295	390	122.0	181.0	255.0	231.7172413793104	left	left_tank1	110.0	match
673	2072	398	44.0	178.0	255.0	214.0	right	right_tank1	10.0	
673	2192	409	123.0	181.0	255.0	232.04827586206892	right	right_tank1	130.0	match
674	295	390	126.0	182.0	255.0	231.6174496644296	left	left_tank1	110.0	match
674	2072	399	47.0	178.0	255.0	213.171875	right	right_tank1	10.0	
674	2193	409	124.5	181.0	255.0	234.7619047619048	right	right_tank1	131.0	match
675	295	390	120.0	184.0	255.0	234.21126760563385	left	left_tank1	110.0	match
675	2070	397	42.5	181.0	255.0	214.79310344827587	right	right_tank1	8.0	
675	2193	409	107.0	181.0	255.0	233.68217054263565	right	right_tank1	131.0	match
676	296	389	132.5	181.0	255.0	234.96129032258065	left	left_tank1	111.0	match
676	2192	409	112.0	181.0	255.0	235.0751879699248	right	right_tank1	130.0	match
677	295	388	110.0	181.0	255.0	232.2442748091603	left	left_tank1	110.0	match
677	2192	407	133.0	183.0	255.0	235.3207547169812	right	right_tank1	130.0	match
678	295	388	152.0	182.0	255.0	236.316091954023	left	left_tank1	110.0	match
678	2193	408	106.0	181.0	251.0	226.15079365079364	right	right_tank1	131.0	match
679	295	390	132.0	181.0	255.0	235.5686274509804	left	left_tank1	110.0	match
679	2193	408	141.5	181.0	255.0	232.40243902439025	right	right_tank1	131.0	match
680	296	390	129.5	181.0	255.0	235.9066666666667	left	left_tank1	111.0	match
680	2193	407	107.0	181.0	255.0	230.86614173228347	right	right_tank1	131.0	match
681	296	390	130.0	181.0	255.0	234.6447368421053	left	left_tank1	111.0	match
681	2193	409	71.0	181.0	255.0	232.0681818181818	right	right_tank1	131.0	match
682	296	389	119.0	181.0	255.0	236.2394366197183	left	left_tank1	111.0	match
682	2193	409	89.5	181.0	255.0	233.22935779816515	right	right_tank1	131.0	match
683	296	389	111.5	181.0	255.0	234.79850746268656	left	left_tank1	111.0	match
