frame	cX	cY	area	minI	maxI	meanI	video	cluster	glare	camera	tank	cXtank
-3.746091100335902	-0.7762819714581812	-2.496242150320393	1.1777560293776523	201.0	255.0	219.8774834437086	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.6285892148930075	-2.481831266459488	0.6457767361240537	201.0	240.0	214.54008438818565	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.612269573283596	-2.416982289085416	0.8539425465276358	201.0	252.0	222.2460317460317	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.6538846593875952	-2.402571405224511	1.5987135570826738	201.0	254.0	221.68023255813952	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.790153666826181	-2.359338753641796	-0.8992761677603108	201.0	222.0	206.77777777777777	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.7705700968948873	-2.3665441955722484	1.2286410052540837	201.0	246.0	215.01	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	0.2053444713479187	-1.84775237657967	5.923936506579324	201.0	255.0	225.60487804878048	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.2789269330280546	-1.2497006963521142	-0.7975062160074485	201.0	239.0	215.6136363636364	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.2136483665904088	-1.2713170221434718	0.0074015842197354	201.0	222.0	209.64827586206897	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.235679882763114	-1.2280843705607567	3.148392367864896	201.0	255.0	227.8642714570858	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.2364958648435849	-0.2481442680192196	-0.7419953332331599	0.0	203.0	200.3695652173913	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.962325885805472	0.7317958345223174	0.0120274911175928	201.0	244.0	218.819512195122	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.0936990007612344	0.8975209989227245	0.0582865600961666	201.0	233.0	214.4722222222222	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.0757473949908818	0.8759046731313671	1.404425467372664	201.0	246.0	216.7284768211921	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	0.0339882344490983	1.1280951406972035	-0.7604989608245895	201.0	217.0	207.4923076923077	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.2540534399570142	3.2897277198329475	-0.6402253814802976	0.0	221.0	197.80645161290323	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.2157022821748972	3.318549487554757	0.8030575706512046	0.0	210.0	196.8135593220339	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.22996800819982	0.4435781573042183	0.2248192084190322	0.0	202.0	200.0606060606061	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.1752972088082918	0.6165087636350778	-0.2146419468774187	0.0	214.0	201.2936507936508	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.0920670366002934	0.6885631829396026	-0.7743766815181616	0.0	225.0	202.6136363636364	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.1108346244511165	0.73900127645277	0.0629124669940239	0.0	233.0	197.02702702702703	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.5282234189951269	0.919137324714082	-0.7743766815181616	0.0	254.0	208.2888888888889	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.5102718132247743	0.9263427666445344	-0.718865798743873	0.0	233.0	195.36734693877548	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.7803618818605341	1.084862489114489	-0.1545051572052728	0.0	223.0	198.39166666666665	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.7477225986417112	1.142506024558109	-0.8853984470667386	0.0	217.0	199.8148148148148	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.7428267061588878	1.1136842568362988	-0.4598150124638598	0.0	222.0	201.3647058823529	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.7974975055504162	1.2722039793062534	-0.3256637124259958	0.0	246.0	202.3142857142857	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.7477225986417112	1.3010257470280633	-0.54770724352315	0.0	250.0	203.3972602739726	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.4082740531659526	1.5171890049416377	-0.913153888453883	0.0	229.0	206.96153846153848	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.773018043136299	1.61085975003752	-0.7466212401310173	0.0	249.0	201.91304347826087	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.1810090833715858	1.8918719853251664	-0.9224057022495976	0.0	202.0	200.54545454545456	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-1.1304181943824103	2.497129107483175	0.4006036705376126	0.0	215.0	191.4918918918919	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.1389999666106633	2.590799852579057	-0.4505631986681451	0.0	203.0	200.5842696629213	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
-3.746091100335902	-0.8741998211146501	2.929455623310324	-0.8391393780881649	0.0	219.0	202.6052631578947	/Users/oakley/Downloads/out_00.mp4	-1	no	left	noise	
